标题,开发商,房子信息,发布信息,售价/万,单价
中华园大三房 户型方正 采光通风好 满五唯一税费低,中华园教师村 -鹤山市,3室2厅 | 106.59平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,1人关注 / 12天以前发布,19.5,"1,830元/平"
国瑞山湖海.环境优美 居住在公园内,国瑞山湖海庄园 -鹤山市,3室2厅 | 96平米 | 东南 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 3天以前发布,59.7,"6,219元/平"
会龙里 低楼层 精装三房 配套成熟,会龙里 -江华港口,4室2厅 | 125平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 11天以前发布,69,"5,520元/平"
电梯中层3房2卫通风好光线足居住舒适户型方正看房方便,金汇城市广场 -北新区,3室2厅 | 117.31平米 | 东 | 毛坯 | 中楼层(共17层)  | 板塔结合,0人关注 / 3天以前发布,128,"10,912元/平"
爱琴湾 3室1厅 南,爱琴湾 -鹤山市,3室1厅 | 85平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 2天以前发布,53,"6,236元/平"
近江门大道山顶独立别墅几百平方大花园,瑶村小苑 -杜阮,5室2厅 | 268.42平米 | 西 | 毛坯 | 低楼层(共3层)  | 暂无数据,3人关注 / 一年前发布,326,"12,146元/平"
骏凯豪庭400方独栋望江大别墅，300方+花园，随时看房,名冠骏凯豪庭二期 -经济开发,6室2厅 | 460平米 | 南 北 | 毛坯 | 3层  | 暂无数据 | 独栋别墅 ,1人关注 / 6个月以前发布,460,"10,000元/平"
美雅新村高层少有4房通风明亮。,美雅新村 -鹤山市,4室2厅 | 117.95平米 | 东南 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,34.8,"2,951元/平"
新好景  砖仔外墙  低楼层  精装拧包入住,好景花园 -双龙,4室2厅 | 140平米 | 南 | 精装 | 低楼层(共8层)  | 塔楼,0人关注 / 6个月以前发布,89,"6,358元/平"
骏凯豪庭独栋别墅精装大花园，环境优美，随时看房,名冠骏凯豪庭二期 -经济开发,5室2厅 | 265.5平米 | 南 北 | 精装 | 3层  | 暂无数据 | 独栋别墅 ,0人关注 / 11个月以前发布,595,"22,411元/平"
鹤起香泉双拼别墅单边位，入证花园305平方,碧桂园-鹤起香泉 -鹤山市,5室2厅 | 254.26平米 | 南 | 毛坯 | 3层  | 板楼,18人关注 / 一年前发布,240,"9,440元/平"
碧桂园西江悦府，精装4房2厅，家私家电齐全，拎包入住,西江悦府 -良化北街,4室2厅 | 135.15平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 8个月以前发布,167.7,"12,409元/平"
置业好选择 靓楼层18楼 南北对流 望别墅 拎包入住,共和碧桂园翠湖畔 -鹤山市,2室2厅 | 72.71平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,11人关注 / 一年前发布,48,"6,602元/平"
时代雁山精装上叠南北向带车位舒适温馨享美景拎包入住,山水居 -鹤山市,5室2厅 | 224.07平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,9人关注 / 一年前发布,230,"10,265元/平"
户型靓. 区绿化面积大，人车分流，安全放心出行。,十里方圆―芳菲庭园 -鹤山市,4室2厅 | 171.02平米 | 东南 南 | 精装 | 低楼层(共4层)  | 板楼,5人关注 / 10个月以前发布,130,"7,602元/平"
通透格局，视野宽阔，采光充足配套齐全交通便利,南湖壹号 -枢纽新城,5室2厅 | 126.6平米 | 东南 西北 | 毛坯 | 高楼层(共30层)  | 暂无数据,2人关注 / 11个月以前发布,110,"8,689元/平"
碧桂园星语4房2厅2卫南向户型采光充足,碧桂园星语 -鹤山市,4室2厅 | 143平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,82.8,"5,791元/平"
西江御府  阳台望小区花园  实用四房,碧桂园越秀西江御府 -良化北街,4室2厅 | 143.04平米 | 南 北 | 简装 | 低楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,155,"10,837元/平"
西江御府  阳台望小区花园  实用四房,碧桂园越秀西江御府 -良化北街,4室2厅 | 143.04平米 | 南 北 | 简装 | 低楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,155,"10,837元/平"
碧桂园滨江天际，一字楼高层，南北对流，景观优秀,碧桂园滨江天际 -棠下,4室2厅 | 142平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,238,"16,761元/平"
江门蓬江区 北新区翠林苑健康楼层汇悦城生活方便,翠林苑 -北新区,4室2厅 | 156平米 | 南 | 毛坯 | 高楼层(共14层)  | 塔楼,14人关注 / 一年前发布,138,"8,847元/平"
共和碧桂园翠湖畔  高楼层  风景好,共和碧桂园翠湖畔 -鹤山市,3室2厅 | 124平米 | 南 | 精装 | 高楼层(共23层)  | 暂无数据,1人关注 / 一年前发布,80,"6,452元/平"
东升路中楼层 地理位置优越 业主在住随时看房,东升路7号 -鹤山市,3室2厅 | 119.72平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 8个月以前发布,40,"3,342元/平"
新装修 拎包入住 税费低 中间楼层,华桥新村 -鹤山市,3室2厅 | 102.7平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,15人关注 / 一年前发布,30,"2,922元/平"
十里方圆―九章 4室2厅 南,十里方圆―九章 -鹤山市,4室2厅 | 246.28平米 | 南 | 其他 | 中楼层(共30层)  | 塔楼,0人关注 / 4个月以前发布,200,"8,121元/平"
4层别墅 带前后花园 物业维护好,清华苑·君汇 -鹤山市,5室2厅 | 392.91平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,7人关注 / 一年前发布,328,"8,348元/平"
业主急售 碧桂园精装大4房 采光好 不靠路  安静,碧桂园-叠彩轩 -鹤山市,4室2厅 | 136.3平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,9人关注 / 一年前发布,76,"5,576元/平"
十里方圆―九章 5室2厅 南,十里方圆―九章 -鹤山市,5室2厅 | 244.73平米 | 南 | 毛坯 | 低楼层(共30层)  | 塔楼,0人关注 / 一年前发布,185.5,"7,580元/平"
环境优美，交通便利，舒适宜居。,叠翠苑二期 -中心城区,4室2厅 | 185平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,136,"7,352元/平"
方圆大平层！附带全屋家私家电！附带产权车位一个,十里方圆―大雅 -鹤山市,3室2厅 | 145.11平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,3人关注 / 一年前发布,108,"7,443元/平"
怡康华庭4+1户型，业主诚心出售,怡康华庭 -北新区,4室2厅 | 180平米 | 南 北 | 精装 | 中楼层(共11层)  | 塔楼,2人关注 / 6个月以前发布,180,"10,000元/平"
新华城南向单位， 采光好， 位置靓，高层看景观，,鹤山新华城 -鹤山市,4室2厅 | 124.82平米 | 东南 | 其他 | 中楼层(共30层)  | 塔楼,0人关注 / 19天以前发布,105,"8,413元/平"
总价3字头 南隅街5楼 精装小户型2房  交通生活便利,南隅街 -中心城区,3室2厅 | 71.2平米 | 南 北 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 21天以前发布,38,"5,338元/平"
宝丰新城首付低，做业主3室2厅 诚心出售,共和宝丰新城销售中心 -鹤山市,3室2厅 | 87.88平米 | 东南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 19天以前发布,48.8,"5,554元/平"
精致装修 92平 电梯房 国瑞山湖海庄园 南向通透 满二,方盛苑 -鹤山市,3室2厅 | 90.26平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 19天以前发布,55.8,"6,183元/平"
育德东苑 2室2厅 南,育德东苑 -育德,2室2厅 | 78.82平米 | 南 | 其他 | 低楼层(共9层)  | 塔楼,0人关注 / 24天以前发布,60,"7,613元/平"
这个房子是小区中间位置，朝南望小区,骏景湾豪庭(蓬江区) -北新区,3室2厅 | 158.77平米 | 南 | 其他 | 中楼层(共22层)  | 板楼,0人关注 / 16天以前发布,153.8,"9,687元/平"
南安新村 3房2厅，业主诚心出售,南安新村 -城西,3室2厅 | 94.96平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 18天以前发布,40,"4,213元/平"
房子格局好，南北对流，视野开阔，物业服务好,碧桂园中海珑悦府 -杜阮,3室2厅 | 122.05平米 | 东南 南 北 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 18天以前发布,139,"11,389元/平"
阳光充足格局好，视野宽阔，交通出行方便,置业花园 -鹤山市,2室2厅 | 82.7平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,20,"2,419元/平"
低首付26方私家露台-干净整洁。,共和宝丰新城销售中心 -鹤山市,2室2厅 | 69.16平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 18天以前发布,36,"5,206元/平"
房屋精装，保养新净，环境好，户型方正，南北对流,碧桂园天汇 -鹤山市,4室2厅 | 138平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,3人关注 / 一年前发布,119,"8,624元/平"
碧桂园天汇 高层宽楼距270°无遮挡 南北对流 精装,碧桂园天汇 -鹤山市,3室2厅 | 121.46平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,17人关注 / 一年前发布,103,"8,481元/平"
新升苑 房屋格局方正实用 装修靓 4房3卫双套间 中层,新升苑 -鹤山市,4室2厅 | 135平米 | 南 | 精装 | 中楼层(共8层)  | 平房,25人关注 / 一年前发布,59,"4,371元/平"
北园 格局方正 采光通风效果好 业主诚心出售,北园新村 -圭峰,3室2厅 | 63.04平米 | 南 | 其他 | 高楼层(共8层)  | 暂无数据,0人关注 / 9天以前发布,19.8,"3,141元/平"
康城广场旁嘉华小区毛坯3室2卫可以按照自己喜欢装修,嘉华新都汇（嘉瀚花园组团） -府西,3室2厅 | 104.6平米 | 南 | 毛坯 | 高楼层(共28层)  | 暂无数据,0人关注 / 27天以前发布,136,"13,002元/平"
户型方正，格局好，采光好视野无遮挡,文昌花园 -礼乐,3室2厅 | 91平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 28天以前发布,56.8,"6,242元/平"
南湖壹号 3室1厅 北,南湖壹号 -枢纽新城,3室1厅 | 85.7平米 | 北 | 毛坯 | 低楼层(共28层)  | 塔楼,0人关注 / 1个月以前发布,80,"9,335元/平"
万科金域国际 业主诚心出售 靓楼层 笋价格,万科金域国际 -双龙,3室2厅 | 97.26平米 | 东南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,122,"12,544元/平"
滨江新区 滨江壹号 一字楼 新房未入住 业主诚心出售,碧桂园滨江壹号 -滨江新区,3室2厅 | 118.3平米 | 东南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 26天以前发布,138,"11,666元/平"
方直珑湖湾 清水毛坯 玉带緾腰 4房2厅3卫,方直·珑湖湾 -滨江新区,4室2厅 | 164.86平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 27天以前发布,222,"13,466元/平"
房子户型方正，格局好，采光好无遮挡,文昌花园文锦苑 -礼乐,3室1厅 | 72.69平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 24天以前发布,33.8,"4,650元/平"
小区管理，带装有，有全屋8成新家私家电,泮海蓝湾一期 -双龙,3室2厅 | 95平米 | 东北 | 精装 | 中楼层(共9层)  | 暂无数据,0人关注 / 20天以前发布,103,"10,843元/平"
户型方正，格局好，采光好视野无遮挡,文昌花园 -礼乐,4室2厅 | 117平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 19天以前发布,72.8,"6,223元/平"
看西江、高尔夫无遮挡景观此房格采光很好,越秀·星汇名庭 -北新区,3室2厅 | 97平米 | 东南 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 29天以前发布,137.8,"14,207元/平"
高尔夫景观大三居室，南北通透，景观好,五邑豪园 -滨江新区,3室2厅 | 154平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 18天以前发布,188,"12,208元/平"
鹤山公园就在家门口，采光和通风好，小区环境优美,绿地公园城 -鹤山市,3室2厅 | 108平米 | 南 北 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,98,"9,075元/平"
大四房，南北对流，配备家私电器即可入住,大华博富·御潭江 -经济开发,4室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 28天以前发布,111,"9,250元/平"
金禧花园 精装 3房 中层 总价低 随时可看房,金禧花园 -经济开发,3室2厅 | 97.94平米 | 南 | 精装 | 中楼层(共27层)  | 暂无数据,0人关注 / 18天以前发布,79.8,"8,148元/平"
奥园峻廷湾 中层 精装修 4室,奥园峻廷湾 -鹤山市,4室2厅 | 140平米 | 东南 | 其他 | 中楼层(共33层)  | 塔楼,0人关注 / 29天以前发布,108,"7,715元/平"
奥园国际广场电梯高层毛坯3房2厅视野开阔风格自由装修,奥园益丞国际广场 -北新区,3室2厅 | 97平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 16天以前发布,108,"11,135元/平"
电梯精装 3房 金禧花园 拎包入住 总价不高,金禧花园 -经济开发,3室2厅 | 91平米 | 东 | 精装 | 低楼层(共27层)  | 暂无数据,0人关注 / 24天以前发布,67,"7,363元/平"
繁华地段高档品质小区莱茵华庭精装3房2厅拎包入住！,莱茵华庭 -北新区,3室2厅 | 95平米 | 东南 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 18天以前发布,136,"14,316元/平"
滨江新区范小滨江一号小区阳台看天河景观，南北对流。,碧桂园滨江壹号 -滨江新区,3室2厅 | 118平米 | 东南 北 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 16天以前发布,172,"14,577元/平"
滨江新区珠江御景山庄精装修四房南北对流通风效果好。,珠江御景山庄 -滨江新区,4室2厅 | 138平米 | 东南 北 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 21天以前发布,161,"11,667元/平"
福泉新邨鸣泉居带装修三房，拎包入住！,鸣泉居 -杜阮,3室2厅 | 103平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,62.8,"6,098元/平"
五福五街小区  配套成熟  交通方便  拎包入住,五福五街小区 -双龙,3室2厅 | 93.39平米 | 西南 | 精装 | 高楼层(共9层)  | 板楼,1人关注 / 一年前发布,44,"4,712元/平"
上帝视角！美吉特CBD30楼，阳台向南，望尽南湖公园,启超大道11号 -枢纽新城,2室2厅 | 89.04平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,95.8,"10,760元/平"
碧桂园新仕界 南北对流 精装修 中高楼层  一字楼,碧桂园新仕界 -枢纽新城,4室2厅 | 143.77平米 | 南 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 10个月以前发布,181.8,"12,646元/平"
业主诚心出售     采光好     户型方正,怡丰苑 -育德,3室2厅 | 117.84平米 | 西 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 5个月以前发布,105,"8,911元/平"
南湖壹号 4室2厅 南,南湖壹号 -枢纽新城,4室2厅 | 96平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,4人关注 / 一年前发布,105,"10,938元/平"
热门小区大四房南北对流靓楼层采光好,新会碧桂园·盛世名门 -枢纽新城,4室2厅 | 139.4平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,188.6,"13,530元/平"
农林新村 正规两房户型 全马赛克19年楼,农林新村 -其他城区,2室2厅 | 73.47平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,22,"2,995元/平"
中环旁电梯三房 中间楼层 无遮挡 采光通风好,名门壹号花园 -河南,3室2厅 | 94.76平米 | 东南 | 其他 | 高楼层(共25层)  | 暂无数据,0人关注 / 4个月以前发布,90,"9,498元/平"
帕佳图绿茵高尔夫住宅业主诚心出售,帕佳图绿茵高尔夫 -滨江新区,3室2厅 | 92.58平米 | 南 | 其他 | 低楼层(共31层)  | 塔楼,0人关注 / 一年前发布,149,"16,095元/平"
奥园外滩，业主诚心出售！！！！,奥园外滩 -滨江新区,2室2厅 | 83.81平米 | 东南 | 精装 | 高楼层(共25层)  | 塔楼,3人关注 / 一年前发布,102,"12,171元/平"
此房为二期，正南向，采光是充足的，视野宽阔。,尚岭新筑 -双龙,3室2厅 | 97.01平米 | 南 | 其他 | 中楼层(共16层)  | 暂无数据,0人关注 / 18天以前发布,105,"10,824元/平"
房源满两年，户型通透舒适，小区地段好，旺中带静,凤山水岸 -双龙,3室2厅 | 118.01平米 | 北 | 精装 | 高楼层(共11层)  | 板楼,4人关注 / 一年前发布,105,"8,898元/平"
项目门口就已有市-场，教--育，可以步行大约几百米,联发悦澜山 -杜阮,3室2厅 | 94.33平米 | 南 | 其他 | 低楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,81.8,"8,672元/平"
地段优越，环境配套完善，户型正气，环境优美。,龙翔花园 -鹤山市,3室2厅 | 100.84平米 | 东北 | 毛坯 | 中楼层(共12层)  | 暂无数据,12人关注 / 一年前发布,53.8,"5,336元/平"
爱琴湾看房方便 业主诚心出售  生活硬件设施一应俱全,爱琴湾 -鹤山市,3室2厅 | 82.54平米 | 南 | 毛坯 | 高楼层(共17层)  | 塔楼,1人关注 / 5个月以前发布,50.88,"6,165元/平"
江门美吉特广场CC MALL 3室2厅 东南,江门美吉特广场CC MALL -枢纽新城,3室2厅 | 89平米 | 东南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 16天以前发布,82,"9,214元/平"
丽城花园 格局方正实用 采光好 装修保养新 随时可看,高升邨 -鹤山市,3室2厅 | 92.13平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,58.8,"6,383元/平"
碧桂园滨江壹号住宅.业主诚意出售.价格特优,碧桂园滨江壹号 -滨江新区,4室2厅 | 144.69平米 | 南 北 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,200,"13,823元/平"
绿茵高尔夫 双紫茶 .朝南.无遮挡,帕佳图绿茵高尔夫 -滨江新区,3室2厅 | 90.25平米 | 南 | 其他 | 中楼层(共31层)  | 塔楼,0人关注 / 14天以前发布,129,"14,294元/平"
滨江新区，紫茶旁，美的公园天誉房正业主诚心出售,美的·卓越公园天誉 -滨江新区,4室2厅 | 126.81平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 6个月以前发布,139.6,"11,009元/平"
坚美园大户型 双阳台南北对流 业主急售随时可看,坚美园 -鹤山市,3室2厅 | 138平米 | 东南 西南 | 其他 | 低楼层(共15层)  | 塔楼,0人关注 / 2个月以前发布,91.8,"6,653元/平"
此房已经满5年，南北对流高层采光好，不靠路看小区。,怡兴苑 -育德,3室2厅 | 120平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,86,"7,167元/平"
海伦湾大四房毛坯，南北对流无遮挡江景还带大入户花园,海伦湾 -外海,4室2厅 | 145.33平米 | 南 | 其他 | 中楼层(共25层)  | 板塔结合,0人关注 / 2个月以前发布,168,"11,560元/平"
围仔村  中高楼层复式  视野宽阔  采光足  交通便利,围仔村 -鹤山市,3室2厅 | 134.03平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,48.5,"3,619元/平"
人民东路格局方正采光好出入方便,人民东路 -鹤山市,3室2厅 | 82.62平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 10个月以前发布,26.5,"3,208元/平"
恒鑫御园 电梯高层3房，南向大阳台瞭望别墅群,恒鑫御园 -白沙农林,3室2厅 | 98.74平米 | 西南 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 2个月以前发布,88,"8,913元/平"
业主诚心出售 看房方便，产权清晰，随时方便签约,幸福新村 -白沙农林,4室2厅 | 116平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,65.8,"5,673元/平"
朝南低层洋房，对别墅区，采光好,奕聪花园 -外海,3室2厅 | 99.37平米 | 南 | 毛坯 | 低楼层(共31层)  | 板塔结合,2人关注 / 一年前发布,84.8,"8,534元/平"
千御君珀小区，业主诚心出售！！！！,千御君珀 -双龙,3室2厅 | 90.75平米 | 东南 | 简装 | 低楼层(共14层)  | 塔楼,0人关注 / 一年前发布,75,"8,265元/平"
"大四房毛坯 中高层,证够二年,南向  采光好,税费少",海逸华庭 -外海,4室2厅 | 132.55平米 | 南 北 | 毛坯 | 低楼层(共22层)  | 板塔结合,2人关注 / 一年前发布,126,"9,506元/平"
笋 蓝鸟花园大户型 三房户型带套间 保养好 拎包入住,蓝鸟花园 -鹤山市,3室2厅 | 138.8平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 4个月以前发布,63,"4,539元/平"
九章 阳台望别墅 湖景采光好，通风条件好,十里方圆―九章 -鹤山市,2室2厅 | 82.77平米 | 北 | 其他 | 中楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,57.8,"6,984元/平"
双紫茶 西江边 望江单位 环境好,岭江一品 -滨江新区,3室2厅 | 102.12平米 | 南 北 | 其他 | 低楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,113.5,"11,115元/平"
十里方圆云玺靓楼层小三房温馨舒适适合刚需小家庭,十里方圆云玺 -鹤山市,3室2厅 | 88平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 5个月以前发布,65,"7,387元/平"
中间楼层大平层精装带家私家电！满两年无增值，笋,十里方圆―芳菲庭园 -鹤山市,4室2厅 | 142平米 | 南 | 精装 | 中楼层(共4层)  | 塔楼,19人关注 / 一年前发布,82,"5,775元/平"
业主诚出 高楼层 采光通风好配套完善 交通便利,江海碧桂园 -外海,3室2厅 | 90.5平米 | 东北 | 其他 | 低楼层(共25层)  | 塔楼,0人关注 / 3个月以前发布,82,"9,061元/平"
市区楼盘带摩托车位，采光充足，配套齐全，交通便利，,骏景湾豪庭(蓬江区) -北新区,3室2厅 | 139平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,4人关注 / 一年前发布,164,"11,799元/平"
满五唯一，价格可谈，小区舒适，生活配套完善,达进豪庭 -棠下,4室2厅 | 135.53平米 | 南 | 其他 | 中楼层(共17层)  | 平房,0人关注 / 1个月以前发布,124,"9,150元/平"
兴业苑实用三房，格局很好，采光通风好,兴业苑 -鹤山市,3室2厅 | 105.2平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,25,"2,377元/平"
盛华苑    3房2厅1厨2卫  南向,盛华苑 -江华港口,3室2厅 | 147平米 | 南 | 简装 | 高楼层(共7层)  | 塔楼,0人关注 / 2个月以前发布,76,"5,171元/平"
保利旁正规3房 楼层高通风好 看房方便 楼下幼儿园,宏海 -经济开发,3室2厅 | 87平米 | 北 | 其他 | 高楼层(共8层)  | 暂无数据,0人关注 / 9天以前发布,35,"4,023元/平"
建康楼层。买一层多一层，2层使用,良化里 -良化北街,3室2厅 | 71.2平米 | 东 南 北 | 其他 | 高楼层(共8层)  | 板楼,0人关注 / 7个月以前发布,39.3,"5,520元/平"
河景小区绿化好、配套完善，中间楼层,保利·中汇花园二期 -滨江新区,4室2厅 | 140平米 | 南 | 其他 | 中楼层(共33层)  | 塔楼,1人关注 / 2个月以前发布,166,"11,858元/平"
建康楼层。买一层多一层，2层使用,良化里 -良化北街,3室2厅 | 71.2平米 | 东 南 北 | 其他 | 高楼层(共8层)  | 板楼,0人关注 / 7个月以前发布,39.3,"5,520元/平"
中楼层，凤山二期三房，小区新，业主诚心卖,凤山水岸2期誉城 -双龙,3室2厅 | 101.58平米 | 南 | 毛坯 | 中楼层(共22层)  | 塔楼,2人关注 / 7个月以前发布,105,"10,337元/平"
4楼毛坯楼层好，采光好，毛坯可以根据自己的设计装修,宏盛花园二区 -鹤山市,3室2厅 | 103.19平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,17人关注 / 一年前发布,50,"4,846元/平"
砖仔低楼层，楼下就有世纪广场，生活交通便利,冈州大道中 -中心城区,3室1厅 | 69.89平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,1人关注 / 11个月以前发布,53,"7,584元/平"
实用面积大  采光好  好房子 你值得拥有,育德街 -育德,3室2厅 | 111平米 | 南 | 简装 | 高楼层(共9层)  | 板楼,1人关注 / 一年前发布,71.5,"6,442元/平"
南园新村6楼 3房 砖仔楼 简装,南园新村 -中心城区,3室1厅 | 83平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,50,"6,025元/平"
蓬江区 中国电信后面 胜坚紫瑞旁 珠江帝景湾 诚售,珠江帝景湾 -白沙农林,3室2厅 | 147.14平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,5人关注 / 一年前发布,142,"9,651元/平"
东港街 3室2厅 南 北,东港街 -江华港口,3室2厅 | 94平米 | 南 北 | 其他 | 低楼层(共8层)  | 板楼,0人关注 / 15天以前发布,66.8,"7,107元/平"
碧桂园翠湖畔，楼层好近市场，交通便利,共和碧桂园翠湖畔 -鹤山市,3室2厅 | 103.5平米 | 南 北 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,71,"6,860元/平"
中天国际温馨三房两厅高层采光好不考路望花园！,中天国际花园 -北新区,3室1厅 | 106.15平米 | 南 | 其他 | 高楼层(共25层)  | 塔楼,6人关注 / 10个月以前发布,108,"10,175元/平"
高升邨  格局方正  税费低  保养新净  拎包入住,高升邨 -鹤山市,3室2厅 | 120平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 10个月以前发布,53.5,"4,459元/平"
天鹅湾成熟小区，配套齐全，拎包入住,天鹅湾 -河南,3室2厅 | 112.58平米 | 南 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 2个月以前发布,121,"10,748元/平"
新升苑南北对流采光好出入很方便,新升苑 -鹤山市,3室2厅 | 77.56平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,29,"3,740元/平"
中楼层 正规3房 楼下商场 停车方便,恒新花园 -中心城区,3室2厅 | 97.52平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,4人关注 / 一年前发布,56.5,"5,794元/平"
此房新装修 三房户型方正。地段决定着的重要因素,水围新村 -鹤山市,3室1厅 | 78平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,18人关注 / 一年前发布,20.3,"2,603元/平"
公园里的湖景房，业主急售，南望公园，视野开阔,绿地公园城 -鹤山市,3室2厅 | 110平米 | 南 | 其他 | 高楼层(共33层)  | 平房,0人关注 / 11天以前发布,93,"8,455元/平"
帕佳图绿茵高尔夫 2室1厅 南,帕佳图绿茵高尔夫 -滨江新区,2室1厅 | 73.5平米 | 南 | 其他 | 低楼层(共31层)  | 塔楼,0人关注 / 4天以前发布,100,"13,606元/平"
格局好，视野宽阔，采光充足，配套设施齐全,叠翠苑二期 -中心城区,3室1厅 | 134.8平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,100,"7,419元/平"
金禧花园 中高层 精装 3房 出售,金禧花园 -经济开发,3室2厅 | 97平米 | 南 | 其他 | 高楼层(共27层)  | 塔楼,0人关注 / 15天以前发布,82.5,"8,506元/平"
蓝鸟花园 4室2厅 东南,蓝鸟花园 -鹤山市,4室2厅 | 138.05平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 14天以前发布,63.8,"4,622元/平"
