标题,开发商,房子信息,发布信息,售价/万,单价
房子是电梯房适合养老人居住人文素质高,蓝天中央公园 -市政府商圈,2室2厅 | 94.26平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 15天以前发布,57.5,"6,101元/平"
楼层好，采光好，房子属于精装修，可以直接拎包入住,湖滨花园 -集英街商圈,3室2厅 | 89.87平米 | 南 西 | 精装 | 中楼层(共26层)  | 板楼,3人关注 / 11个月以前发布,83,"9,236元/平"
此房地理位置好，交通方便，配套设施全。,晋开四季城 -四季城商圈,4室2厅 | 166.81平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,0人关注 / 一年前发布,143,"8,573元/平"
汉兴上品电梯洋房顶楼复式，二室二厅一卫+一室一卫,汉兴上品 -市政府商圈,2室2厅 | 89平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,9人关注 / 7个月以前发布,76.5,"8,596元/平"
四季城电梯小三室，毛坯房，中间楼层,晋开四季城 -四季城商圈,3室1厅 | 88.05平米 | 南 | 毛坯 | 中楼层(共23层)  | 塔楼,1人关注 / 7个月以前发布,63,"7,156元/平"
温莎现房，边户，中间楼层，毛坯房，单价低。。,温莎尚郡 -集英街商圈,3室2厅 | 119平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 6个月以前发布,95,"7,984元/平"
黄河大街繁华成熟地段中间楼层大三室,西西花园 -市政府商圈,3室2厅 | 150.81平米 | 东 西 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 8个月以前发布,84,"5,570元/平"
四季城电梯小三室，毛坯房，中间楼层,晋开四季城 -四季城商圈,3室1厅 | 88.05平米 | 南 | 毛坯 | 中楼层(共23层)  | 塔楼,1人关注 / 7个月以前发布,63,"7,156元/平"
此房地理位置好，交通方便，配套设施全。,晋开四季城 -四季城商圈,4室2厅 | 166.81平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,0人关注 / 一年前发布,143,"8,573元/平"
汉兴上品电梯洋房顶楼复式，二室二厅一卫+一室一卫,汉兴上品 -市政府商圈,2室2厅 | 89平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,9人关注 / 7个月以前发布,76.5,"8,596元/平"
碧桂园边户 3开间朝南 户型优秀 得房率高,郑开碧桂园 -万达商圈,3室2厅 | 131.44平米 | 西南 | 简装 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,115,"8,750元/平"
交付精装，定制衣柜，户型合理，双卫设计，出行便捷！,郑开碧桂园 -万达商圈,3室2厅 | 112.65平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,94,"8,345元/平"
木厂街九号 1楼带院子3室 有钥匙 随时看房,木厂街9号 -相国寺商圈,3室1厅 | 77.44平米 | 东 西 | 简装 | 低楼层(共6层)  | 暂无数据,3人关注 / 5个月以前发布,53,"6,845元/平"
拉菲国品质小区，际好楼层，采光好,集英臻园 -万达商圈,3室2厅 | 130.15平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板塔结合,10人关注 / 一年前发布,83,"6,378元/平"
小高层好楼层，无遮挡，可看中意湖，随时看房,东方今典御府 -西湖商圈,4室2厅 | 139.85平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,115,"8,224元/平"
森林半岛北苑，毛坯大平层 有本,郑开森林半岛 -万达商圈,4室2厅 | 201平米 | 南 西南 | 毛坯 | 低楼层(共27层)  | 板楼,12人关注 / 一年前发布,165,"8,209元/平"
桃李春风 3室2厅 东南,桃李春风 -北站商圈,3室2厅 | 130平米 | 东南 | 毛坯 | 高楼层(共7层)  | 暂无数据,2人关注 / 5个月以前发布,177,"13,616元/平"
拉菲品质小区，环境优美。物业管理好,集英臻园 -万达商圈,3室2厅 | 110.93平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,29人关注 / 一年前发布,68,"6,130元/平"
湖西洋房，户型优越，品质楼盘，改善小区,晖达新世界三期 -西湖商圈,3室2厅 | 119.58平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 暂无数据,6人关注 / 7个月以前发布,106,"8,865元/平"
青年城  3室房子  南北通透  手续齐全  交易简单,青年城 -青年城商圈,3室2厅 | 116平米 | 南 北 | 简装 | 高楼层(共22层)  | 板塔结合,46人关注 / 一年前发布,70,"6,035元/平"
郑开橄榄城二期、精装修3室边户,郑开橄榄城二期 -西湖商圈,3室2厅 | 127平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,41人关注 / 一年前发布,105,"8,268元/平"
帝湖世家精装修家具家电齐全拎包入住中间楼层视野,帝湖世家 -集英街商圈,3室2厅 | 123.35平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,2人关注 / 11个月以前发布,99,"8,026元/平"
集英花园 标准大三室 精装修好户型好位置 +27平储藏室,集英花园 -开元商圈,3室2厅 | 123平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,228人关注 / 一年前发布,86,"6,992元/平"
海马公馆 前排高层 观湖 视野开阔无遮挡,海马公馆 -北站商圈,3室2厅 | 134.79平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,52人关注 / 一年前发布,120,"8,903元/平"
鼎立国际B区，小高层10楼，采光好户型好,鼎立国际城B区 -鼎立商圈,3室2厅 | 123平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,27人关注 / 一年前发布,96.6,"7,854元/平"
万丽铂金瀚宫 东边户  前面无遮挡  大三室  随时看房,万丽铂金瀚宫 -开元商圈,3室2厅 | 115.96平米 | 南 | 简装 | 低楼层(共19层)  | 板楼,7人关注 / 10个月以前发布,83,"7,158元/平"
户型方正，小区环境不错 价位合适。,集英臻园 -万达商圈,3室2厅 | 128.65平米 | 南 | 毛坯 | 高楼层(共25层)  | 暂无数据,5人关注 / 9个月以前发布,79,"6,141元/平"
品质洋房一楼带大院，有本手续全业主急卖，有扩展面积,海马公馆 -北站商圈,4室2厅 | 173.53平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,7人关注 / 一年前发布,350,"20,170元/平"
幸福里好楼层业主诚心出售欢迎来电咨询实地看房,幸福里 -青年城商圈,3室2厅 | 115.68平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,90,"7,781元/平"
晖达品质，户型方正，出则繁华，入则宁静,晖达新世界三期 -西湖商圈,3室2厅 | 115平米 | 南 | 毛坯 | 低楼层(共27层)  | 板楼,1人关注 / 7个月以前发布,85,"7,392元/平"
业主诚心出售 新小区环境好 采光好,圣桦城 -青年城商圈,3室2厅 | 142.27平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,3人关注 / 5个月以前发布,126,"8,857元/平"
伟宏天境 大三房 有本税够 户型方正 看房方便,伟宏天境 -北站商圈,3室2厅 | 135.2平米 | 南 | 毛坯 | 低楼层(共24层)  | 塔楼,0人关注 / 3个月以前发布,90,"6,657元/平"
蓝湾国际精装修三室两厅随时看房,新芒果蓝湾国际 -集英街商圈,3室1厅 | 113.33平米 | 东南 南 | 精装 | 高楼层(共27层)  | 塔楼,0人关注 / 3个月以前发布,86,"7,589元/平"
此房小高层地理位置优越，此房户型方正，采光好,武警花园 -鼎立商圈,3室2厅 | 116.83平米 | 南 北 | 毛坯 | 中楼层(共21层)  | 板塔结合,0人关注 / 1个月以前发布,75,"6,420元/平"
星光天地，出行方便，一站式购物。,金耀绿城 -鼎立商圈,3室2厅 | 117.61平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,3人关注 / 5个月以前发布,66,"5,612元/平"
品质洋房一楼带大院，有本手续全业主急卖，有扩展面积,海马公馆 -北站商圈,4室2厅 | 173.53平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,7人关注 / 一年前发布,350,"20,170元/平"
幸福里好楼层业主诚心出售欢迎来电咨询实地看房,幸福里 -青年城商圈,3室2厅 | 115.68平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,90,"7,781元/平"
三室27楼，精装修，业主诚心出售，看房方便,万丽铂金瀚宫 -开元商圈,3室2厅 | 97.81平米 | 南 | 简装 | 高楼层(共30层)  | 板塔结合,4人关注 / 一年前发布,68.5,"7,004元/平"
万达 隔壁 观景房 精装修可以拎包入住,郑开森林半岛南苑 -万达商圈,3室2厅 | 128平米 | 南 北 | 精装 | 高楼层(共25层)  | 塔楼,2人关注 / 一年前发布,99,"7,735元/平"
业主急售，有本税满可随时看房，西湖观景房。,碧水蓝城三期 -集英街商圈,3室2厅 | 132.85平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 塔楼,12人关注 / 5个月以前发布,88,"6,625元/平"
森林半岛好户型，好楼层，户型方正前无遮挡，看房方便,郑开森林半岛南苑 -万达商圈,3室2厅 | 134.23平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,97,"7,227元/平"
人车分流   五大街六大街之间  博物馆旁,大河东都一期 -万达商圈,3室2厅 | 140.48平米 | 南 北 | 简装 | 低楼层(共17层)  | 板楼,7人关注 / 7个月以前发布,88,"6,265元/平"
黄河路阳光新天地三室两厅带大露台,阳光新天地 -鼎立商圈,3室2厅 | 146平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 8个月以前发布,79.8,"5,466元/平"
森林半岛南苑，万达旁，洋房大平层，满五唯一，无抵押,郑开森林半岛南苑 -万达商圈,4室2厅 | 176.97平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,8人关注 / 一年前发布,148,"8,363元/平"
房子是一楼，出行比较方便，配套齐全 户型方正,东方今典 -西湖商圈,3室2厅 | 123.32平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,26人关注 / 一年前发布,93,"7,542元/平"
此房满五唯一，采光好，视野开阔,开元华庭 -开元商圈,3室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,8人关注 / 一年前发布,93,"8,612元/平"
低于市场价出售 可正常过户 15楼小三房,圣桦城三期 -青年城商圈,3室2厅 | 91.91平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,16人关注 / 7个月以前发布,61.5,"6,692元/平"
房子手续齐全，无抵押，可随时签约。看房提前联系。,板桥小区 -相国寺商圈,2室2厅 | 68.84平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,30.2,"4,387元/平"
鼎立国际B区，小高层10楼，采光好户型好,鼎立国际城B区 -鼎立商圈,3室2厅 | 123平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,27人关注 / 一年前发布,96.6,"7,854元/平"
拉菲国品质小区，际好楼层，采光好,集英臻园 -万达商圈,3室2厅 | 130.15平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板塔结合,10人关注 / 一年前发布,83,"6,378元/平"
森林半岛北苑，毛坯大平层 有本,郑开森林半岛 -万达商圈,4室2厅 | 201平米 | 南 西南 | 毛坯 | 低楼层(共27层)  | 板楼,12人关注 / 一年前发布,165,"8,209元/平"
小高层好楼层，无遮挡，可看中意湖，随时看房,东方今典御府 -西湖商圈,4室2厅 | 139.85平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,115,"8,224元/平"
房子户型方正。地理位置优越，生活交通便利。,世纪豪苑 -龙亭商圈,2室2厅 | 112.23平米 | 东南 南 | 精装 | 中楼层(共5层)  | 板楼,2人关注 / 一年前发布,132,"11,762元/平"
伟宏天境一楼 物业环境好 看房方便,伟宏天境 -北站商圈,3室2厅 | 135.02平米 | 南 | 毛坯 | 低楼层(共24层)  | 塔楼,4人关注 / 7个月以前发布,99,"7,333元/平"
低首付慧远花园五楼，大三房二厅  大储藏室 家具家电,慧远花苑 -市政府商圈,3室2厅 | 140平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,61.6,"4,400元/平"
金明广场，生活便利，交通方便，出门就是郑开大道,迪臣世博广场 -集英街商圈,3室2厅 | 127.18平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,6人关注 / 一年前发布,82.5,"6,487元/平"
南北通透格局，楼层好，视野开阔，采光充足,市一建家属楼 -顺河商圈,2室1厅 | 86.49平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,3人关注 / 6个月以前发布,39,"4,510元/平"
业主急售精装拎包入住，南北通风把边户，采光充足。,金鼎丽都 -集英街商圈,2室2厅 | 93.3平米 | 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,8人关注 / 5个月以前发布,70,"7,503元/平"
步梯好楼层，东边成熟小区出行方便,東苑小區 -顺河商圈,3室1厅 | 76平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,33,"4,343元/平"
此房 三室 采光好 视野开阔 急卖,玻璃厂家属院 -相国寺商圈,3室1厅 | 81.32平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,24.3,"2,989元/平"
开元华庭 中间层 采光充足 东边户视野开阔*大阳台,开元华庭 -开元商圈,3室2厅 | 139.78平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,36人关注 / 一年前发布,119,"8,514元/平"
鼎立国际F区好楼层，大阳台，有钥匙随时看房！~,鼎立国际城F区 -鼎立商圈,2室2厅 | 89.81平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,5人关注 / 5个月以前发布,64.8,"7,216元/平"
英伦春天 精装一梯两户小高层南北通透 商圈成熟！,英伦春天 -集英街商圈,2室1厅 | 77.78平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,1人关注 / 3个月以前发布,68.5,"8,807元/平"
西坡街繁华地段，采光好，配套设施齐全，交通便利,景都花园 -相国寺商圈,3室2厅 | 126.99平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,6人关注 / 8个月以前发布,69.9,"5,505元/平"
户型不错。。。。。。。。。。。。。。。。。。。。。,仁和苑 -四季城商圈,3室2厅 | 105平米 | 南 | 毛坯 | 低楼层(共7层)  | 板塔结合,0人关注 / 6个月以前发布,63,"6,000元/平"
经典三室，生活便利，阳光充足.,西湖水岸 -开元商圈,3室1厅 | 127.54平米 | 南 北 | 简装 | 中楼层(共25层)  | 板塔结合,16人关注 / 一年前发布,81,"6,351元/平"
阳光新居，万宝对    面步梯一楼不带院，无公摊，,阳光新居 -市政府商圈,3室2厅 | 126平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,77,"6,112元/平"
业主诚心出售，观景效果好。带一个储藏间,西湖印象 -橄榄城商圈,4室2厅 | 161.04平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,0人关注 / 7个月以前发布,149,"9,253元/平"
此房户型好，楼层采光好，精装修 ，配套设施齐全,晖达新世界一期 -西湖商圈,4室2厅 | 135.74平米 | 东南 南 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 9个月以前发布,135,"9,946元/平"
宏康家园一楼带20平米储藏室两室两厅精装修有暖气,宏康家園 -开元商圈,2室1厅 | 72.8平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,4人关注 / 8个月以前发布,52,"7,143元/平"
观景东单东 好楼层 4室2卫 小区好位置,西湖印象 -橄榄城商圈,4室2厅 | 161.01平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,156,"9,689元/平"
房子能贷款，三间卧室朝阳.采光足,花园小区 -顺河商圈,3室2厅 | 123.99平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,52.4,"4,227元/平"
西湖印象 3室2厅 东,西湖印象 -橄榄城商圈,3室2厅 | 132.11平米 | 东 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 8个月以前发布,129,"9,765元/平"
小区物业管理好，绿化面积大，公共设施齐全， 环境好,绿都上河城 -顺河商圈,3室2厅 | 89.81平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,50,"5,568元/平"
楼层好，视野宽阔采光充足，配套设施齐全。,圣桦城 -青年城商圈,3室2厅 | 96.67平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,65,"6,724元/平"
森林半岛 户型方正 好楼层 三室 采光好 户型棒,郑开森林半岛南苑 -万达商圈,3室2厅 | 113.36平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 暂无数据,10人关注 / 一年前发布,77,"6,793元/平"
契税满两年，产权清晰，没有户口迁入。,郑开森林半岛 -万达商圈,3室2厅 | 122.89平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,4人关注 / 一年前发布,85,"6,917元/平"
西湖旁高档成熟小区，户型方正，没有浪费面积,郑开橄榄城二期 -西湖商圈,3室2厅 | 103.67平米 | 南 | 毛坯 | 低楼层(共21层)  | 塔楼,72人关注 / 一年前发布,80,"7,717元/平"
房子是开发商精装修交付，南北通透。,郑开橄榄城二期 -西湖商圈,3室2厅 | 127.75平米 | 南 北 | 精装 | 高楼层(共23层)  | 塔楼,21人关注 / 一年前发布,110,"8,611元/平"
博物馆，小高层，南北通透，采光好，有本，随时看房,大河东都一期 -万达商圈,3室2厅 | 120.78平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 板楼,5人关注 / 一年前发布,79,"6,541元/平"
急售一梯一户房，前排洋房，无遮挡，采光好。,海马公馆 -北站商圈,3室2厅 | 138.51平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,65人关注 / 7个月以前发布,122,"8,809元/平"
东郊祥和苑二期，楼盘新步梯无公摊，,祥和苑(重工路) -顺河商圈,3室1厅 | 96.2平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,50,"5,198元/平"
业主急卖，伟宏天境高性价，有本无大税,伟宏天境 -北站商圈,3室2厅 | 124.48平米 | 南 | 毛坯 | 低楼层(共26层)  | 塔楼,41人关注 / 一年前发布,79,"6,347元/平"
房子通风效果好，全明户型 ，位置成熟，品质物业号。,郑开橄榄城一期 -西湖商圈,3室2厅 | 137.5平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 4个月以前发布,135,"9,819元/平"
幸福里毛坯现房，手续齐全，有钥匙，随时看房,幸福里 -青年城商圈,3室2厅 | 101.84平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,3人关注 / 8个月以前发布,70.5,"6,923元/平"
此房楼层好，阳光充足，布局合理，设施齐全,长城花园 -大王屯商圈,2室2厅 | 101.06平米 | 南 | 简装 | 低楼层(共18层)  | 暂无数据,6人关注 / 一年前发布,59,"5,839元/平"
星光天地旁三室中楼层产权清晰随时过户,省一监西家属院 -鼎立商圈,3室1厅 | 93.96平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,52,"5,535元/平"
电梯洋房三楼 户型好毛坯房 业主诚心出售,郑开森林半岛南苑 -万达商圈,3室2厅 | 130.09平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,13人关注 / 一年前发布,130,"9,994元/平"
无需解压，有本税满把边东户，有钥匙随时看房。,温莎尚郡 -集英街商圈,3室2厅 | 130.13平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,11人关注 / 11个月以前发布,90,"6,917元/平"
丁角街 油坊胡同24号院 三室一厅 顶楼,油坊街24号 -相国寺商圈,3室1厅 | 64平米 | 西 | 简装 | 高楼层(共4层)  | 暂无数据,7人关注 / 一年前发布,18.8,"2,938元/平"
公园地产，水景住宅，低迷居所，观景居所,帝湖世家 -集英街商圈,3室2厅 | 86.53平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,6人关注 / 7个月以前发布,66,"7,628元/平"
老城区繁华地段，采光好，配套设施齐全，交通便利,得胜坊 -顺河商圈,3室2厅 | 124.9平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,2人关注 / 一年前发布,70,"5,605元/平"
房子是三室两厅精装修 ，户型方正，看房方便,天宇商住楼 -顺河商圈,3室2厅 | 135.6平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,15人关注 / 一年前发布,49,"3,614元/平"
售！东苑小区二期 经典三室 采光好 可按揭,東苑小區 -顺河商圈,3室1厅 | 83.79平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,40人关注 / 一年前发布,32.7,"3,903元/平"
北邻开封博物馆 开封市民广场 中意湖 东边万达广场,大河东都一期 -万达商圈,3室1厅 | 124.43平米 | 南 北 | 毛坯 | 低楼层(共20层)  | 板楼,6人关注 / 6个月以前发布,75,"6,028元/平"
鼎立F区凤凰楼层视野好采光佳单价单价七千多,鼎立国际城F区 -鼎立商圈,3室2厅 | 118.51平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 9个月以前发布,86,"7,257元/平"
配套设施齐全，小区安静，楼层不高。,润泽苑 -鼎立商圈,3室2厅 | 99平米 | 南 北 | 简装 | 低楼层(共2层)  | 板塔结合,13人关注 / 一年前发布,56.4,"5,697元/平"
成熟小区 紧挨博物馆 位置好 户型方正，看房方便,大河东都一期 -万达商圈,3室2厅 | 143.69平米 | 南 北 | 简装 | 高楼层(共17层)  | 板楼,0人关注 / 11个月以前发布,95,"6,612元/平"
大宏城市花园中间好楼层简装急售有储藏室产权清晰,建业大宏城市花园 -鼎立商圈,3室2厅 | 90.92平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,3人关注 / 6个月以前发布,65,"7,150元/平"
自贸区世界500强郑开绿地城户型方正采光好,郑开绿地城 -祥符区,3室1厅 | 119.16平米 | 东南 南 | 其他 | 低楼层(共17层)  | 板塔结合,2人关注 / 3个月以前发布,69,"5,791元/平"
郑开橄榄城 西湖观景房 户型方正 采光无遮挡,郑开橄榄城一期 -西湖商圈,3室2厅 | 115.51平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,135,"11,688元/平"
帝湖世家精装修，无抵押贷款！！,帝湖世家 -集英街商圈,3室2厅 | 129.8平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,1人关注 / 8个月以前发布,96,"7,396元/平"
小区地理位置好，生活方便多条公交车站线从此经过,西大街小区 -相国寺商圈,3室2厅 | 90.9平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 10个月以前发布,40,"4,401元/平"
精装修 业主诚心出售 价位低了低了,郑开碧桂园 -万达商圈,4室2厅 | 142.4平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,7人关注 / 一年前发布,176,"12,360元/平"
西区优质小区 户型好 采光好 物业好,伟宏天境 -北站商圈,3室2厅 | 134平米 | 南 | 毛坯 | 低楼层(共24层)  | 塔楼,0人关注 / 7个月以前发布,98,"7,314元/平"
西区优质小区 户型好  楼层高 采光好,伟宏天境 -北站商圈,3室2厅 | 92.1平米 | 南 | 毛坯 | 高楼层(共24层)  | 塔楼,1人关注 / 7个月以前发布,68,"7,384元/平"
森林半岛11楼楼层比较好东边户三室两厅两卫装修好的,郑开森林半岛南苑 -万达商圈,3室2厅 | 126.84平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,4人关注 / 6个月以前发布,95,"7,490元/平"
晖达新世界三期 3室2厅 南 北,晖达新世界三期 -西湖商圈,3室2厅 | 125.48平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板楼,0人关注 / 4个月以前发布,94.1,"7,500元/平"
户型格局好，视野宽阔，配套齐全，毛坯房，全明户型,东方今典御府 -西湖商圈,3室2厅 | 117.5平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,90,"7,660元/平"
恒大帝景精装修，业主诚心出售，钥匙在售！,恒大帝景南苑 -CBD商圈,3室2厅 | 136.79平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,116,"8,481元/平"
晋河花园南北通透大三房  交通便利,晋河花园 -万达商圈,3室2厅 | 148.59平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 塔楼,1人关注 / 一年前发布,78,"5,250元/平"
位置区域好，高层视野宽阔，阳光充足，得房率高！,金明裕 -集英街商圈,3室2厅 | 129.5平米 | 南 | 精装 | 高楼层(共21层)  | 塔楼,2人关注 / 一年前发布,84,"6,487元/平"
精装修拎包入住，可观景，楼层好采光好,郑开橄榄城一期 -西湖商圈,3室2厅 | 139.74平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,18人关注 / 7个月以前发布,125,"8,946元/平"
通风效果好，格局合理，南北双阳台,郑开森林半岛南苑 -万达商圈,3室2厅 | 113.4平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 暂无数据,3人关注 / 3个月以前发布,79,"6,967元/平"
急售一梯一户房，前排洋房，无遮挡，采光好。,海马公馆 -北站商圈,3室2厅 | 138.51平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,65人关注 / 7个月以前发布,122,"8,809元/平"
黄河大街 幸福里 小三室 中间楼层 边户,幸福里 -青年城商圈,3室1厅 | 85.97平米 | 南 北 | 简装 | 中楼层(共27层)  | 板塔结合,2人关注 / 3个月以前发布,62.6,"7,282元/平"
苹果园中路 小区已翻新 两室一厅 。,苹北小区 -铁塔商圈,2室1厅 | 49平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,20,"4,082元/平"
3室2厅，简单装修省去后期装修的麻烦，,建业大宏城市花园 -鼎立商圈,3室2厅 | 90.41平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,1人关注 / 3个月以前发布,63,"6,969元/平"
新上房源，业主诚心出售，精装大三室，随时看房！,宋苑名家 -大王屯商圈,3室2厅 | 139.13平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,81,"5,822元/平"
位置好，产权清晰，有本，看房方便,润泽苑 -鼎立商圈,2室2厅 | 84平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 10个月以前发布,45.2,"5,381元/平"
西湖东岸，房子没有车位，没有储藏室，户型布局合理,温莎尚郡 -集英街商圈,3室2厅 | 117.06平米 | 西南 | 精装 | 低楼层(共32层)  | 板塔结合,3人关注 / 4个月以前发布,90,"7,689元/平"
业主诚心出售，全屋精装！南北通透！满五唯一！,青年城 -青年城商圈,3室2厅 | 88.51平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 4个月以前发布,63,"7,118元/平"
楼层好，视野宽阔，采光充足，交通便利,伟业香堤湾 -集英街商圈,3室2厅 | 138.16平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,102,"7,383元/平"
有本在售，观湖观景楼房随时看房,碧水蓝城三期 -集英街商圈,3室2厅 | 142平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,5人关注 / 一年前发布,110,"7,747元/平"
此房满五唯一，目前空置，诚心出售！！！,郑开森林半岛南苑 -万达商圈,3室2厅 | 132.08平米 | 南 北 | 精装 | 中楼层(共25层)  | 塔楼,26人关注 / 一年前发布,100,"7,572元/平"
永合丽景六楼复式，四室两厅两卫，户型方正，,永合丽景 -市政府商圈,4室2厅 | 181.17平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,7人关注 / 4个月以前发布,79,"4,361元/平"
房子在四楼，采光好，房子从新装修过房子保持干净,大宏世纪新城 -铁塔商圈,3室1厅 | 98.82平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,50,"5,060元/平"
