标题,开发商,房子信息,发布信息,售价/万,单价
阳光六层，精装两居，户型方正，价格美丽,税苑小区 -金桥商圈,2室2厅 | 114.1平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,13人关注 / 10个月以前发布,85,"7,450元/平"
全天采光 简单装修 南北通透 看房方便 小区有绿化,实验中学小区 -东落凤商圈,1室1厅 | 42平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,9人关注 / 一年前发布,50,"11,905元/平"
盛世东元，出行方便 ，生活成本低，,盛世东元小区 -南茶坊商圈,2室1厅 | 75平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,19人关注 / 5个月以前发布,45,"6,000元/平"
15年建成的新小区 交通便利，小区环境好,中铁·诺德龙湾 -西万达商圈,3室2厅 | 121.44平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,120,"9,882元/平"
西万达商圈 草原明珠小区 设备齐全,草原明珠 -西万达商圈,2室1厅 | 89平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,73人关注 / 一年前发布,47,"5,281元/平"
精装修大三居，户型方正，格局良好。,恒大华府 -中海商圈,3室2厅 | 125.69平米 | 北 南 | 精装 | 高楼层(共26层)  | 板楼,7人关注 / 一年前发布,159,"12,651元/平"
嘉茂商圈 有房本 标准一室一厅 塔东菜市场 中间楼层,瑞福祥东小区 -嘉茂商圈,1室1厅 | 54.66平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,40,"7,318元/平"
房东诚心出售，个人一手房，小区出行方便环境舒适。,自由里 -金川开发区,2室1厅 | 78.9平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,40,"5,070元/平"
此房房本满五年，电力，中间楼层，现代装修，嘉茂,呼郊政府住宅楼 -嘉茂商圈,2室1厅 | 61.29平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,68,"11,095元/平"
西万达 国标两居 单价低 通透 停车方便,新西蓝小区 -西万达商圈,2室2厅 | 83.08平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,12人关注 / 9个月以前发布,62,"7,463元/平"
花园式高档次新小区，物业管理严格，公检法近地铁,香榭花堤 -金桥商圈,2室1厅 | 87.91平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,1人关注 / 2个月以前发布,90,"10,238元/平"
简单装修   价格可谈   可出租自住,观澜国际 -南湖商圈,2室2厅 | 96平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,65,"6,771元/平"
中海商圈 中间楼层 精装修 可拎包入住 有房本,富丽名源 -中海商圈,2室1厅 | 99.2平米 | 东 北 | 精装 | 中楼层(共18层)  | 板楼,6人关注 / 10个月以前发布,96,"9,678元/平"
优秀住宅房源，采光好，交通便利.,BoBo悠乐城 -金川开发区,2室1厅 | 48.82平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,10人关注 / 一年前发布,28.5,"5,838元/平"
雅宝利小区 2室1厅 南 北,雅宝利小区 -石羊桥商圈,2室1厅 | 84.34平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,83,"9,842元/平"
麦迪逊花园 精装三居 带大车位 果园式小区 品质社区,麦迪逊花园 -新华联商圈,3室2厅 | 132.33平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,43人关注 / 一年前发布,189,"14,283元/平"
国标户型，南北通透。南门前排，无遮挡。,鼎盛国际 -南湖商圈,2室2厅 | 98平米 | 南 北 | 精装 | 中楼层(共24层)  | 暂无数据,3人关注 / 4个月以前发布,94.5,"9,643元/平"
新城区 铁木真小区 有房本 可贷款 两年外,铁木真小区 -成吉思汗西商圈,2室1厅 | 71.96平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,45,"6,254元/平"
前巧報祥和家園 2室1厅 南 北,前巧報祥和家園 -金桥商圈,2室1厅 | 64平米 | 南 北 | 简装 | 低楼层(共24层)  | 板楼,16人关注 / 5个月以前发布,50,"7,813元/平"
盛世东元步梯二楼刀把户型单价低,盛世东元小区 -南茶坊商圈,2室1厅 | 72平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,8人关注 / 6个月以前发布,57,"7,917元/平"
大力公司家属院 2室1厅 南 北,大力公司家属院 -八一商圈,2室1厅 | 66平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,61,"9,243元/平"
好房出售  看房方便  拎包入住,碧水蓝山 -金川开发区,2室1厅 | 88.6平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,46,"5,192元/平"
精装大三居   业主诚心卖   采光好,竹园小区东区 -巨海城商圈,3室2厅 | 130平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,130,"10,000元/平"
简装国标两居 采光无忧 花园小区 上学便利,城发绿园 -海西路商圈,2室1厅 | 96.98平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,10人关注 / 一年前发布,92,"9,487元/平"
中海商圈 颐和家园 南二环 生活方便,颐和家园(滨河北路) -中海商圈,2室1厅 | 92.78平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,2人关注 / 6个月以前发布,75.9,"8,181元/平"
万达旁  近地铁  双阳三居室  南北通透  价格可议,府佑小区 -市政府商圈,3室2厅 | 139.66平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,135,"9,667元/平"
桃花岛 2室1厅 南 北,桃花岛 -南湖商圈,2室1厅 | 103平米 | 南 北 | 精装 | 高楼层(共27层)  | 暂无数据,1人关注 / 2个月以前发布,86,"8,350元/平"
海东路 呼铁佳园 电梯房 精装修 出行便利,呼铁佳园A区 -海东路商圈,2室1厅 | 101平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,18人关注 / 3个月以前发布,78,"7,723元/平"
上东墅精装修，前排视野无遮挡，诚心售房,上东墅 -成吉思汗东商圈,3室2厅 | 79.18平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,37人关注 / 9个月以前发布,126,"15,914元/平"
颐和家园 单价低 顶楼采光视野好,颐和家园(滨河北路) -中海商圈,3室2厅 | 121.7平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,17人关注 / 一年前发布,105,"8,628元/平"
大学路学 非顶楼 采光好 大两居 五年外空户 税费低,国勘院南小区 -大学路商圈,2室1厅 | 57.6平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,70,"12,153元/平"
内蒙古监狱管理局 两室一厅 采光好,内蒙古监狱管理局住宅小区 -附属医院商圈,2室1厅 | 65平米 | 西 东 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 5个月以前发布,45,"6,924元/平"
此房房本满五年，电力，中间楼层，现代装修，嘉茂,呼郊政府住宅楼 -嘉茂商圈,2室1厅 | 61.29平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,68,"11,095元/平"
拎包入住 家具家电全留 房本在手 采光无遮挡,金隅丽港城 -中海商圈,2室2厅 | 86.62平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,10人关注 / 4个月以前发布,112,"12,931元/平"
西万达 国标两居 单价低 通透 停车方便,新西蓝小区 -西万达商圈,2室2厅 | 83.08平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,12人关注 / 9个月以前发布,62,"7,463元/平"
花园式高档次新小区，物业管理严格，公检法近地铁,香榭花堤 -金桥商圈,2室1厅 | 87.91平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,1人关注 / 2个月以前发布,90,"10,238元/平"
15年建成的新小区 交通便利，小区环境好,中铁·诺德龙湾 -西万达商圈,3室2厅 | 121.44平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,120,"9,882元/平"
精装修大三居，户型方正，格局良好。,恒大华府 -中海商圈,3室2厅 | 125.69平米 | 北 南 | 精装 | 高楼层(共26层)  | 板楼,7人关注 / 一年前发布,159,"12,651元/平"
盛世东元，出行方便 ，生活成本低，,盛世东元小区 -南茶坊商圈,2室1厅 | 75平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,19人关注 / 5个月以前发布,45,"6,000元/平"
新城区 如意小区 国标户型 步梯3楼,如意住宅小区 -市政府商圈,2室2厅 | 117.47平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,109,"9,279元/平"
店长力荐  二环边 国标户型 可按揭 中间楼层 ！,万和家园 -万锦商圈,2室1厅 | 104.38平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,94,"9,006元/平"
西万达商圈 草原明珠小区 设备齐全,草原明珠 -西万达商圈,2室1厅 | 89平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,73人关注 / 一年前发布,47,"5,281元/平"
县府街 清水湾 省力一楼 房本五年外,清水湾 -县府街商圈,2室1厅 | 73.64平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,73,"9,914元/平"
国标户型，南北通透。南门前排，无遮挡。,鼎盛国际 -南湖商圈,2室2厅 | 98平米 | 南 北 | 精装 | 中楼层(共24层)  | 暂无数据,3人关注 / 4个月以前发布,94.5,"9,643元/平"
麦迪逊花园 精装三居 带大车位 果园式小区 品质社区,麦迪逊花园 -新华联商圈,3室2厅 | 132.33平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,43人关注 / 一年前发布,189,"14,283元/平"
小区成熟，随意装修，视野开阔，交通便利,广龙苑小区 -海西路商圈,3室1厅 | 113.26平米 | 北 南 | 精装 | 低楼层(共33层)  | 板塔结合,10人关注 / 一年前发布,105,"9,271元/平"
鼎盛国际 70年 楼上南北朝向 小区环境好物业好,鼎盛国际 -南湖商圈,2室1厅 | 52平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,24人关注 / 一年前发布,54,"10,385元/平"
本房户型方正，采光视野好，精装，可拎包入住,万豪美墅城 -中海商圈,3室1厅 | 74.04平米 | 南 | 精装 | 低楼层(共21层)  | 板楼,10人关注 / 10个月以前发布,105,"14,182元/平"
此房满五唯一，，有免费的车位，,煤气公司家属院 -驰誉商圈,2室1厅 | 71.56平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,70,"9,783元/平"
石油公司家属楼 2室2厅 南 北,石油公司家属楼 -东风路商圈,2室2厅 | 71.48平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,78,"10,913元/平"
胜利路  蒙族商圈    停车方便  出行方便,呼铁胜利路小区 -胜利路商圈,1室1厅 | 44.11平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,36,"8,162元/平"
小区绿化好 有停车位 采光好 电梯房 出行方便,万象天地 -石羊桥商圈,2室1厅 | 104平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 暂无数据,10人关注 / 一年前发布,72,"6,924元/平"
新城区 铁木真小区 有房本 可贷款 两年外,铁木真小区 -成吉思汗西商圈,2室1厅 | 71.96平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,45,"6,254元/平"
好房出售 国标大2居 紧 邻公检法 北京四 中15年制蒙校,千家和众新家园 -金桥商圈,2室2厅 | 115.46平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,7人关注 / 一年前发布,113,"9,787元/平"
嘉茂石东路 地铁口 中间楼层 标准中户 全阳户型,家兴小区 -石东路商圈,2室1厅 | 73.28平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,71,"9,689元/平"
富恒国际  精装修  采光楼层  有房本,富恒国际 -绿地金隅商圈,3室2厅 | 174.18平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,6人关注 / 6个月以前发布,216,"12,401元/平"
雅宝利小区 2室1厅 南 北,雅宝利小区 -石羊桥商圈,2室1厅 | 84.34平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,83,"9,842元/平"
优秀住宅房源，采光好，交通便利.,BoBo悠乐城 -金川开发区,2室1厅 | 48.82平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,10人关注 / 一年前发布,28.5,"5,838元/平"
桥华世纪村（紫华园） 2室1厅 南,桥华世纪村（紫华园） -桥华商圈,2室1厅 | 95平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 4个月以前发布,109,"11,474元/平"
双阳卧室，中间3楼精装修，近地铁,蒙昆小区 -金桥商圈,2室1厅 | 87.3平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,73,"8,362元/平"
新华商圈 政苑小区 3楼 温馨2居室 可按揭,政苑小区 -新华商圈,2室1厅 | 58.04平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,74,"12,750元/平"
业主诚心出售，看房方便，房本产权清晰，没有不合法的,四合兴小区 -光明路商圈,2室1厅 | 81.72平米 | 北 南 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,63,"7,710元/平"
呼铁胜利路片区  精装运动楼层,呼铁胜利路小区 -胜利路商圈,2室1厅 | 62平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,56,"9,033元/平"
孝心一楼 大三居 双阳卧 交通便利,光明小区(回民区) -光明路商圈,3室1厅 | 104平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,80,"7,693元/平"
房东诚心出售，个人一手房，小区出行方便环境舒适。,自由里 -金川开发区,2室1厅 | 78.9平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,40,"5,070元/平"
咱家小区一区 2室1厅 南,咱家小区一区 -回民政府商圈,2室1厅 | 75平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,56,"7,467元/平"
电梯房楼龄新，视野开阔采光充足。小区环境优美,盛业城市广场 -车站西街商圈,2室1厅 | 82平米 | 南 | 简装 | 低楼层(共27层)  | 板楼,1人关注 / 8个月以前发布,50,"6,098元/平"
西铁小区 2室1厅 南 北,西铁小区 -工人北村商圈,2室1厅 | 55平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,38,"6,910元/平"
房子满二，楼层好，小区环境好，出行方便,宝丽家园 -工人北村商圈,2室1厅 | 86.17平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,5人关注 / 6个月以前发布,52,"6,035元/平"
康居家园 1室1厅 南,康居家园 -食品商圈,1室1厅 | 52.26平米 | 南 | 其他 | 中楼层(共22层)  | 暂无数据,4人关注 / 6个月以前发布,38,"7,272元/平"
呼钢小区(阿拉善北路) 2室1厅 南,呼钢小区(阿拉善北路) -回民政府商圈,2室1厅 | 69平米 | 南 | 精装 | 低楼层(共5层)  | 板楼,0人关注 / 6个月以前发布,43,"6,232元/平"
呼铁佳园C区 2室1厅 南,呼铁佳园C区 -海东路商圈,2室1厅 | 97平米 | 南 | 简装 | 中楼层(共32层)  | 板楼,1人关注 / 2个月以前发布,82,"8,454元/平"
道北2小区 2室1厅 南 北,道北2小区 -胜利路商圈,2室1厅 | 63.67平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,55,"8,639元/平"
广厦小区 2室1厅 南,广厦小区 -南茶坊商圈,2室1厅 | 61.84平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 5个月以前发布,59,"9,541元/平"
舜和慢城 2室2厅 南,舜和慢城 -成吉思汗东商圈,2室2厅 | 89.87平米 | 南 | 其他 | 高楼层(共26层)  | 板楼,1人关注 / 3个月以前发布,100,"11,128元/平"
铁路小区(化工路) 2室1厅 南 北,铁路小区(化工路) -植物园商圈,2室1厅 | 53.5平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,1人关注 / 3个月以前发布,37.5,"7,010元/平"
海东路 中华家园 精装一居 三楼,中华家园 -海东路商圈,1室1厅 | 46.03平米 | 西 | 简装 | 6层  | 板楼,12人关注 / 一年前发布,40,"8,690元/平"
保全庄北四彩虹城买一层得2层loft公寓出售,彩虹城 -金桥商圈,1室1厅 | 43.53平米 | 南 | 其他 | 高楼层(共16层)  | 塔楼,4人关注 / 一年前发布,34,"7,811元/平"
二环内 通风好 视野好 采光无限 运动楼层 交通配套全,咱家小区一区 -回民政府商圈,2室1厅 | 74.88平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,1人关注 / 3个月以前发布,48,"6,411元/平"
配套齐全，交通便捷，、采光很好,咱家小区一区 -回民政府商圈,1室1厅 | 57.42平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,25,"4,354元/平"
恒大雅苑 1室1厅 北,恒大雅苑 -西万达商圈,1室1厅 | 68平米 | 北 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,40,"5,883元/平"
化纤厂宿舍 2室1厅 南 北,化纤厂宿舍 -食品商圈,2室1厅 | 62平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,39,"6,291元/平"
紫御澜庭 2室1厅 南 北,紫御澜庭 -成吉思汗西商圈,2室1厅 | 88平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,2人关注 / 6个月以前发布,86,"9,773元/平"
民和文苑电梯房    金海路旁边    看房方便,民和文苑 -金川开发区,2室1厅 | 92平米 | 南 | 毛坯 | 高楼层(共16层)  | 板楼,2人关注 / 3个月以前发布,37.5,"4,077元/平"
咱家小区一区 1室1厅 南,咱家小区一区 -回民政府商圈,1室1厅 | 56平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,24,"4,286元/平"
海西名筑 电梯房 随意装修 有房本可贷款,海西名筑 -海西路商圈,2室1厅 | 75.32平米 | 南 | 毛坯 | 高楼层(共9层)  | 板楼,5人关注 / 3个月以前发布,53,"7,037元/平"
低首付，一环内2016年电梯现房，房本在手，简单装修,水泉文苑 -海西路商圈,2室1厅 | 105.5平米 | 南 | 简装 | 低楼层(共16层)  | 板楼,6人关注 / 7个月以前发布,68.5,"6,493元/平"
永泰城·丽景 2室1厅 南,永泰城·丽景 -金桥商圈,2室1厅 | 83.65平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,110,"13,151元/平"
衡达 2室1厅 南,衡达 -市政府商圈,2室1厅 | 98.68平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,132,"13,377元/平"
五里营东小区 2室1厅 南 北,五里营东小区 -金桥商圈,2室1厅 | 91平米 | 南 北 | 精装 | 中楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,104.8,"11,517元/平"
出行方便  采光好 视野宽阔  房子格局好,战备路知福公寓 -附属医院商圈,2室1厅 | 61.7平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,40,"6,483元/平"
毛坯房。  随意装修。  看房方便,大盛魁文创园二期南区 -南湖商圈,2室1厅 | 84.8平米 | 南 | 毛坯 | 高楼层(共20层)  | 暂无数据,1人关注 / 2个月以前发布,57,"6,722元/平"
出行方便  采光好 视野宽阔  房子格局好,战备路知福公寓 -附属医院商圈,2室1厅 | 61.7平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,40,"6,483元/平"
毛坯房。  随意装修。  看房方便,大盛魁文创园二期南区 -南湖商圈,2室1厅 | 84.8平米 | 南 | 毛坯 | 高楼层(共20层)  | 暂无数据,1人关注 / 2个月以前发布,57,"6,722元/平"
中铁·诺德龙湾 3室2厅 南 北,中铁·诺德龙湾 -西万达商圈,3室2厅 | 129.51平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,4人关注 / 3个月以前发布,116,"8,957元/平"
玉丰小区 2室1厅 南 北,玉丰小区 -五塔寺商圈,2室1厅 | 72平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,46,"6,389元/平"
楼层好，采光好，房子是精装修的,慧谷蓝庭 -西万达商圈,2室1厅 | 109.84平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,108,"9,833元/平"
南万达商圈 小区环境优美  房子是精装修两居室,金河湾住宅小区 -金桥商圈,2室1厅 | 109.05平米 | 南 | 其他 | 高楼层(共21层)  | 板塔结合,0人关注 / 4个月以前发布,109,"9,996元/平"
赛罕区 一楼带30平米小院  采光好,蒙昆小区 -金桥商圈,2室1厅 | 87.3平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,71,"8,133元/平"
新城区 舜和国际花园  精装修  好楼层,舜和国际花园 -成吉思汗东商圈,3室2厅 | 149平米 | 南 | 其他 | 高楼层(共25层)  | 板楼,1人关注 / 2个月以前发布,142,"9,531元/平"
金泰中心 3室2厅 南 北,金泰中心 -绿地金隅商圈,3室2厅 | 199.97平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,0人关注 / 4个月以前发布,325,"16,253元/平"
九洲二期小区 2室1厅 南 北,九洲二期小区 -嘉茂商圈,2室1厅 | 87.86平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,72,"8,195元/平"
此房满五唯一，看房方便，户型南北,内蒙古日报社闻都小区 -北垣街商圈,3室1厅 | 111平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,3人关注 / 一年前发布,170,"15,316元/平"
永泰城汇景 3室2厅 南 北,永泰城汇景 -金桥商圈,3室2厅 | 118平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,0人关注 / 3个月以前发布,138,"11,695元/平"
农牧局家属院 2室1厅 南 北,农牧局家属院 -嘉茂商圈,2室1厅 | 50.2平米 | 南 北 | 其他 | 中楼层(共4层)  | 板塔结合,4人关注 / 一年前发布,40,"7,969元/平"
恒大城北区 3室2厅 南 北,恒大城北区 -成吉思汗东商圈,3室2厅 | 120平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,3人关注 / 7个月以前发布,147,"12,250元/平"
视野开阔，交通便利， 采光好，,众环小区 -海西路商圈,2室2厅 | 77.53平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,50,"6,450元/平"
视野宽阔，五年外房本，采光好，交通便利,市政小区 -石羊桥商圈,2室1厅 | 72平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,55,"7,639元/平"
万和家园 楼层好  视野开阔 采光充足 交通便利,万和家园 -万锦商圈,2室1厅 | 91.89平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,5人关注 / 5个月以前发布,72,"7,836元/平"
都市新村 1室1厅 南,都市新村 -海西路商圈,1室1厅 | 58.77平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,40人关注 / 9个月以前发布,32,"5,445元/平"
家里精装修 看房方便 有金桥小区 北京四中 医院,星河丽景 -金桥商圈,2室1厅 | 81平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,77,"9,507元/平"
新街坊 2室2厅 南 北,新街坊 -回民政府商圈,2室2厅 | 93.28平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,77,"8,255元/平"
长乐宫摩尔城 价格很合适 统建小区,统建小区 -长乐宫商圈,2室1厅 | 57.66平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 5个月以前发布,48,"8,325元/平"
视野宽阔，采光好，业主诚心出售,億峰島·璞園 -市政府商圈,3室1厅 | 166.27平米 | 北 南 | 精装 | 低楼层(共25层)  | 塔楼,32人关注 / 一年前发布,178,"10,706元/平"
众环小区 2室2厅 南 北,众环小区 -海西路商圈,2室2厅 | 85平米 | 南 北 | 其他 | 低楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,60,"7,059元/平"
金川宽城西区 3室2厅 南 北,金川宽城西区 -金川开发区,3室2厅 | 93.28平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,62,"6,647元/平"
海西名筑  精装三居  有房本 可按揭 看房方便,海西名筑 -海西路商圈,3室2厅 | 123平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,43人关注 / 5个月以前发布,93,"7,561元/平"
观澜国际 邻恒大绿洲金地名京楠湖郦舍 万锦创客星空,观澜国际 -南湖商圈,2室2厅 | 92平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,1人关注 / 2个月以前发布,60,"6,522元/平"
锦绣园一期 4室2厅 南 北,锦绣园一期 -市政府商圈,4室2厅 | 153平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,88,"5,752元/平"
劳动人事厅小区 2室1厅 南,劳动人事厅小区 -东落凤商圈,2室1厅 | 56.12平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据,1人关注 / 4个月以前发布,60,"10,692元/平"
精装修 好楼层 看房方便 提前联系,恒泰盛都 -金桥商圈,2室1厅 | 87.37平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,3人关注 / 2个月以前发布,76,"8,699元/平"
西万达商圈，一应俱全，步梯4楼，景观河旁，交通方便,水泉文苑 -海西路商圈,2室1厅 | 82.72平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,55,"6,649元/平"
家里精装修 看房方便 有金桥小区 北京四中 医院,星河丽景 -金桥商圈,2室1厅 | 81平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,77,"9,507元/平"
西万达，别墅区，央企开发，交通方便，得房率高可贷款,中铁·诺德龙湾 -西万达商圈,3室1厅 | 125平米 | 南 北 | 其他 | 中楼层(共13层)  | 板楼,0人关注 / 1个月以前发布,125,"10,000元/平"
万和家园 楼层好  视野开阔 采光充足 交通便利,万和家园 -万锦商圈,2室1厅 | 91.89平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,5人关注 / 5个月以前发布,72,"7,836元/平"
回民区政府 地铁口公交站 咱家小区 南北通透 房本在手,咱家小区一区 -回民政府商圈,2室1厅 | 68.57平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,48,"7,001元/平"
丽苑阳光城 落地窗 看房方便 诚心出售,丽苑阳光城 -海东路商圈,2室1厅 | 77.93平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 5个月以前发布,87,"11,164元/平"
此房满五，标准的刀疤户型，楼层好，采光好,白房子 -工人北村商圈,2室1厅 | 56.03平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,32,"5,712元/平"
精装修新房，单价低小区好，中间好楼层，绿化好环境好,润府 -成吉思汗东商圈,2室2厅 | 90.91平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,11人关注 / 4个月以前发布,115,"12,650元/平"
牛街 明泽广场 植物园 太平街50米 附院 交通方便一楼,学苑小区(回民区) -太平街商圈,2室1厅 | 60.88平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,66,"10,841元/平"
绿树景苑小区 2室1厅 东 西,绿树景苑小区 -食品商圈,2室1厅 | 69.32平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,48,"6,925元/平"
