标题,开发商,房子信息,发布信息,售价/万,单价
宝能太古城 4室2厅 南,宝能太古城 -章江新区,4室2厅 | 135平米 | 南 | 其他 | 高楼层(共30层)  | 板楼,0人关注 / 3天以前发布,249,"18,445元/平"
章江新区旁   南北朝向4房    精装直接拎包入住,嘉福尚江府 -黄金开发区,4室2厅 | 141平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 11个月以前发布,230,"16,313元/平"
万象城商圈，公园旁，毛坯房  高层视野好,幸福里一期 -章江新区,3室2厅 | 112.38平米 | 南 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,180,"16,018元/平"
诚意出售，看房方便，税费简单。,锦路苑小区 -老城区,3室2厅 | 136平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合,4人关注 / 一年前发布,96,"7,059元/平"
有小区，有物业，好停车，生活便利，交通好,钨钼生活小区 -老城区,4室3厅 | 150.4平米 | 东 | 精装 | 中楼层(共12层)  | 平房,10人关注 / 一年前发布,89,"5,918元/平"
章贡区发改委宿舍，精装4房90万，好停车,文明大道30号 -老城区,4室2厅 | 124.85平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,9人关注 / 一年前发布,81,"6,488元/平"
满五唯一税费低大四房户型好视野开阔首付两成,大华▪御景天下 -赣县区,4室1厅 | 128.19平米 | 南 | 毛坯 | 中楼层(共23层)  | 板楼,1人关注 / 9个月以前发布,102,"7,957元/平"
城关2中旁  单独小区   免费停车场,防疫站大楼 -赣县区,4室2厅 | 129.76平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,65,"5,010元/平"
万达广场精装修两房带300平大露台业主已腾房,中民·阳光城 -黄金开发区,2室2厅 | 81.47平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 13天以前发布,89.5,"10,986元/平"
金科集美公馆 3室2厅 南 北,金科集美公馆 -赣县区,3室2厅 | 106.67平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 11天以前发布,88,"8,250元/平"
首付五万 康特花园 正规三房 房龄新,康特花园 -老城区,4室2厅 | 105平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 15天以前发布,58,"5,524元/平"
江山文苑 毛坯4房2厅2卫 房屋格局好 全线江景房,江山文苑 -赣县区,4室2厅 | 119.98平米 | 东南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,104,"8,669元/平"
四小二中已装修好3房站前大道配套全,丽璟花园 -赣县区,3室2厅 | 138.2平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 4个月以前发布,71.6,"5,181元/平"
户型方正，楼层好，采光充足视野宽阔，配套设施齐全,江山里澜湾 -章江新区,4室2厅 | 138平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 14天以前发布,215,"15,580元/平"
章江新区江边 联发雍容华府正规4房出售,联发雍榕华府 -章江新区,4室2厅 | 142平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 13天以前发布,260,"18,310元/平"
章江新区 临江小区 世纪嘉园通透四房 业主诚意出售,世纪嘉园 -章江新区,4室2厅 | 129.14平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,11人关注 / 4个月以前发布,189,"14,636元/平"
新区云星中央星城 精装四房带车位 拎包入住 高层视野,云星中央星城 -章江新区,4室2厅 | 116.47平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,170,"14,597元/平"
融耀•江滨御景 5室2厅 南,融耀•江滨御景 -章江新区,5室2厅 | 187.37平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,4人关注 / 一年前发布,298,"15,905元/平"
中梁南山院 4室2厅 南 北,中梁南山院 -南康区,4室2厅 | 129.23平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 16天以前发布,110,"8,512元/平"
新区云星中央星城 精装四房带车位 拎包入住 高层视野,云星中央星城 -章江新区,4室2厅 | 116.47平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,170,"14,597元/平"
融耀•江滨御景 5室2厅 南,融耀•江滨御景 -章江新区,5室2厅 | 187.37平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,4人关注 / 一年前发布,298,"15,905元/平"
章江北大道公路局宿舍全线江景房,赣州市公路局宿舍 -老城区,4室3厅 | 187.25平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,12人关注 / 一年前发布,115.8,"6,185元/平"
章贡区火车站旁边的新小区，配套成熟三房两厅出售,香山院 -站北区,3室2厅 | 110.43平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,85,"7,698元/平"
"电梯中层，温馨精装两房，离商场,学 校,公园近",海亮天城 -章江新区,2室2厅 | 85平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 13天以前发布,120,"14,118元/平"
楼层好，户型方正好晒太阳，采光充足，视野开阔,香山院 -站北区,4室2厅 | 118.45平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,102,"8,612元/平"
白鹭湾小区大房两厅两卫毛坯满二价格美丽,凯华白鹭湾五区 -赣县区,3室2厅 | 140.58平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,106,"7,541元/平"
时间公园三期 3室2厅 南,时间公园三期 -水东,3室2厅 | 118.97平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 3个月以前发布,97,"8,154元/平"
燕南小区 3室2厅 南,燕南小区 -赣县区,3室2厅 | 134.74平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,66,"4,899元/平"
中海国际社区华府 2室2厅 南,中海国际社区华府 -章江新区,2室2厅 | 89平米 | 南 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 14天以前发布,128,"14,383元/平"
章江新区 临江小区 世纪嘉园通透四房 业主诚意出售,世纪嘉园 -章江新区,4室2厅 | 129.14平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,11人关注 / 4个月以前发布,189,"14,636元/平"
越秀花园满五唯一，户型方正.向花园靓楼层，安静舒适.,越秀花苑逸秀轩 -老城区,3室2厅 | 140.22平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,20人关注 / 一年前发布,107,"7,631元/平"
保利嘉福心语 3室1厅 南,保利嘉福心语 -黄金开发区,3室1厅 | 111.7平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 9天以前发布,132,"11,818元/平"
蓉江新区刚需四房，适合二胎三胎家庭，楼层好,毅德融城 -蓉江新区,4室2厅 | 106.88平米 | 南 | 其他 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,83,"7,766元/平"
时代新城 毛坯正三房 楼层采光好 户型通透 配套齐全,弘乾中茂时代新城一期 -南康区,3室2厅 | 105平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,63,"6,000元/平"
朝南，光线好，有休闲广场，适合小家庭和老人家养老,水利局小区 -赣县区,3室2厅 | 84.65平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据,3人关注 / 一年前发布,40,"4,726元/平"
梅林大街县中旁精装三房两厅仅售59万,药材公司家属楼 -赣县区,3室2厅 | 107.22平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 6个月以前发布,53,"4,944元/平"
金樽花园  三室两厅一厨两卫  133.10平米  带柴间,金樽花園 -老城区,3室2厅 | 133.1平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,104,"7,814元/平"
百合苑小区南北通透电梯三房小区好停车,邮政车队宿舍 -老城区,3室2厅 | 143.99平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,5人关注 / 6个月以前发布,98,"6,807元/平"
冶金研究所  两室两厅一厨一卫  65.58平米,冶金研究所 -老城区,2室2厅 | 65.58平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,11人关注 / 一年前发布,49.5,"7,549元/平"
诚心出售 价格可以谈  两房户型全明,九里峰山花漫里 -蓉江新区,2室2厅 | 76.45平米 | 南 | 其他 | 高楼层(共27层)  | 板塔结合,0人关注 / 4个月以前发布,60,"7,849元/平"
桃李春天 4室2厅 南,桃李春天 -黄金开发区,4室2厅 | 130.66平米 | 南 | 其他 | 低楼层(共32层)  | 板楼,0人关注 / 1天以前发布,130,"9,950元/平"
九里峰山七期复式电梯洋房  坐拥13米转角大阳台,九里峰山峰山院子 -蓉江新区,7室3厅 | 164.47平米 | 南 | 毛坯 | 高楼层(共6层)  | 塔楼,1人关注 / 6个月以前发布,196,"11,918元/平"
户型方正，楼层好，采光充足视野宽阔，配套设施齐全,锦绣星城 -黄金开发区,3室2厅 | 130.68平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,116,"8,877元/平"
城北醉美社区，小区环境好物业管理到位，配套设施齐全,嘉福原山著 -赣县区,4室2厅 | 142平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,120,"8,451元/平"
西桥路4号 3室2厅 南,西桥路4号 -老城区,3室2厅 | 143.84平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,123,"8,552元/平"
城北实用面积大  上学方便  楼下就是菜市场,东都嘉城 -赣县区,5室2厅 | 112.79平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,102,"9,044元/平"
榕玺台 4室2厅 南,榕玺台 -赣县区,4室2厅 | 133平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 11个月以前发布,150,"11,279元/平"
香山院 3室2厅 东,香山院 -站北区,3室2厅 | 111平米 | 东 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,88.8,"8,000元/平"
品质小区 碧桂园 精装修6房 大平层,碧桂园豪园 -赣县区,6室2厅 | 215平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 5个月以前发布,225,"10,466元/平"
赞贤路中小xue旁通透五居室诚意出售,乾盛·T1公馆 -黄金开发区,5室1厅 | 136平米 | 南 | 毛坯 | 低楼层(共27层)  | 板楼,2人关注 / 5个月以前发布,210,"15,442元/平"
东方名苑 3室2厅 南 北,东方名苑 -南康区,3室2厅 | 101.02平米 | 南 北 | 精装 | 中楼层(共16层)  | 暂无数据,2人关注 / 7个月以前发布,59.8,"5,920元/平"
彩虹城二期 4室2厅 南 北,彩虹城二期 -赣县区,4室2厅 | 121.44平米 | 南 北 | 其他 | 低楼层(共29层)  | 暂无数据,0人关注 / 2个月以前发布,105,"8,647元/平"
嘉福原山著  小区环境美 毛坯4房,嘉福原山著 -赣县区,4室2厅 | 142.36平米 | 东南 南 | 其他 | 中楼层(共28层)  | 板塔结合,0人关注 / 3个月以前发布,102,"7,165元/平"
嘉福品质 户型方正 高层看江小区绿化好,嘉福尚江府 -黄金开发区,4室2厅 | 142.28平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 一年前发布,216,"15,182元/平"
满五唯一，交易简单，业主急售，看房方便,黄金时代A区 -章江新区,4室2厅 | 207.84平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,180,"8,661元/平"
江景大平层 欧潭湿地公园尽收眼底 文化艺术中 心旁,龙兴福居.极少墅 -黄金开发区,4室1厅 | 251.42平米 | 南 | 毛坯 | 中楼层(共23层)  | 板楼,1人关注 / 6个月以前发布,326,"12,967元/平"
九里峰山4房！公园小区 空气清晰,九里峰山峰山院子 -蓉江新区,4室2厅 | 149.13平米 | 南 | 毛坯 | 中楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,133,"8,919元/平"
章江新区 万象城商圈 精装修正规4房 看房方便有密码,城央一品 -章江新区,4室2厅 | 131.68平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,18人关注 / 6个月以前发布,179,"13,594元/平"
城南中芯，品质小区，配套完善，出行方便,榕玺台 -赣县区,4室2厅 | 133.74平米 | 南 | 毛坯 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,152,"11,366元/平"
嘉福原山著 采光好，园林漂亮，急售,嘉福原山著 -赣县区,4室2厅 | 142平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,92,"6,479元/平"
新区比较中间地段，经典四加保姆间，奢华品牌装修,起点壹中心 -章江新区,5室2厅 | 239.1平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,1人关注 / 2个月以前发布,426,"17,817元/平"
大平，视野开阔，几代同堂其乐融融,碧桂园天麓 -南康区,5室2厅 | 205平米 | 南 | 精装 | 高楼层(共31层)  | 暂无数据,1人关注 / 10个月以前发布,176,"8,586元/平"
云星公园大观 大平层 成功人士标杆 万象城生态公园旁,云星公园大观 -章江新区,5室2厅 | 243.01平米 | 南 | 毛坯 | 低楼层(共38层)  | 板楼,1人关注 / 5个月以前发布,479,"19,712元/平"
华府世家 5室2厅 南,华府世家 -南康区,5室2厅 | 134.43平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,2人关注 / 8个月以前发布,115,"8,555元/平"
老城区沃尔玛旁，毛坯五房，中间楼层,巨亿城 -老城区,5室2厅 | 127.1平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,1人关注 / 5个月以前发布,129.8,"10,213元/平"
大三房两厅两卫.楼层很好.有露台.,贡庭文苑东区 -赣县区,3室2厅 | 132平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,85.6,"6,485元/平"
文昌苑 精装4房 带露台 子母车位 139平  130万,文昌苑 -赣县区,4室2厅 | 139平米 | 东南 | 精装 | 低楼层(共12层)  | 暂无数据,0人关注 / 1个月以前发布,129.98,"9,352元/平"
九里峰山位于景区内，环境优美，空气清新。世外桃源。,九里峰山峰山院子 -蓉江新区,4室2厅 | 166.64平米 | 西南 | 毛坯 | 中楼层(共8层)  | 塔楼,1人关注 / 一年前发布,162,"9,722元/平"
康中，１小，五中，佳和睿智居装修漂亮４房．．,佳和·睿智居 -南康区,6室3厅 | 220平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,198,"9,000元/平"
因工作调动，现忍痛割爱出售！大四房！,凯旋城 -南康区,4室2厅 | 141.63平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,5人关注 / 一年前发布,94.9,"6,701元/平"
站北小区 小区安静 购物方便 置业方便,东方红广场 -站北区,2室1厅 | 76.69平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 6天以前发布,79,"10,302元/平"
复式结构，面积大正规三房、。。。,赣州商贸城一区 -站北区,3室1厅 | 67平米 | 东南 | 其他 | 高楼层(共6层)  | 平房,0人关注 / 6天以前发布,45,"6,717元/平"
汉泰·上上城 3室2厅 南,汉泰·上上城 -黄金开发区,3室2厅 | 83.49平米 | 南 | 其他 | 低楼层(共22层)  | 塔楼,0人关注 / 3天以前发布,115,"13,775元/平"
中洋•公园首府 3室2厅 南,中洋•公园首府 -章江新区,3室2厅 | 103.8平米 | 南 | 其他 | 中楼层(共29层)  | 板楼,0人关注 / 2天以前发布,160,"15,415元/平"
国企开发小区，环境好，住家合适大四房,星洲湾九境 -黄金开发区,4室2厅 | 137.02平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 5天以前发布,200,"14,597元/平"
万达旁，通透4房，业主诚心出售,金湾广场 -黄金开发区,4室2厅 | 123平米 | 南 | 其他 | 中楼层(共23层)  | 板楼,0人关注 / 5天以前发布,142,"11,545元/平"
金湾广场 3室2厅 南,金湾广场 -黄金开发区,3室2厅 | 95.26平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 5天以前发布,115,"12,073元/平"
圣地亚哥 3室1厅 南,圣地亚哥 -黄金开发区,3室1厅 | 96.39平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 4天以前发布,97.5,"10,116元/平"
锦江公馆江景大平层五房，全新装修只卖毛坯的价格。,锦江公馆 -黄金开发区,5室2厅 | 205.03平米 | 南 北 | 精装 | 26层  | 板楼,1人关注 / 5天以前发布,269,"13,121元/平"
桔子苑 5室2厅 南,桔子苑 -老城区,5室2厅 | 198.63平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 6天以前发布,140,"7,049元/平"
海亮天城 3室2厅 南 北,海亮天城 -章江新区,3室2厅 | 96平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 8天以前发布,144,"15,000元/平"
恒大翡翠华庭，精装通透大三房子，拎包入住!,恒大翡翠华庭 -章江新区,3室2厅 | 123.39平米 | 东南 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 7天以前发布,195,"15,804元/平"
新华书店宿舍楼 3室2厅 南 北,新华书店宿舍楼 -老城区,3室2厅 | 137.6平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 1天以前发布,103.9,"7,551元/平"
盛昌苑 3室1厅 东南,盛昌苑 -老城区,3室1厅 | 163.4平米 | 东南 | 其他 | 高楼层(共8层)  | 板楼,0人关注 / 2天以前发布,98,"5,998元/平"
天竺山路42号 3室2厅 东南,天竺山路42号 -老城区,3室2厅 | 101.05平米 | 东南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 8天以前发布,100,"9,897元/平"
云星公园大观 3室2厅 南,云星公园大观 -章江新区,3室2厅 | 122.52平米 | 南 | 其他 | 高楼层(共30层)  | 板楼,0人关注 / 5天以前发布,235,"19,181元/平"
下壕塘社区 3室2厅 南,下壕塘社区 -老城区,3室2厅 | 70.58平米 | 南 | 其他 | 低楼层(共8层)  | 塔楼,0人关注 / 6天以前发布,45,"6,376元/平"
星洲湾九境 5室2厅 南,星洲湾九境 -黄金开发区,5室2厅 | 167平米 | 南 | 其他 | 高楼层(共29层)  | 暂无数据,0人关注 / 6天以前发布,268,"16,048元/平"
万象城旁园林小区恒大帝景，精装三房，全南户型中间套,恒大帝景 -黄金开发区,3室2厅 | 105平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 6天以前发布,143,"13,620元/平"
此房格局很好、高楼层、采光好通透、登高望远、楼层好,保利嘉福心语 -黄金开发区,3室1厅 | 142平米 | 南 | 其他 | 低楼层(共34层)  | 板楼,0人关注 / 4天以前发布,145,"10,212元/平"
成熟社区正中间位置、配套设施完善！绿化高,中海国际社区华府 -章江新区,3室2厅 | 127平米 | 南 | 其他 | 中楼层(共27层)  | 塔楼,0人关注 / 8天以前发布,190,"14,961元/平"
工行宿舍 2室2厅 南,工行宿舍 -老城区,2室2厅 | 80平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,55,"6,875元/平"
前有公园，后有万达，坐拥城市繁华,云星·公园华府 -黄金开发区,4室2厅 | 136平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 8天以前发布,180,"13,236元/平"
中祥玖珑湾一期 3室2厅 南 北,中祥玖珑湾一期 -章江新区,3室2厅 | 134平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 4天以前发布,206,"15,374元/平"
中间楼层 不靠高架桥 房子采光好,世纪嘉园 -章江新区,4室2厅 | 141平米 | 东南 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 8天以前发布,229,"16,242元/平"
恒大翡翠华庭二期 3室2厅 东南,恒大翡翠华庭二期 -章江新区,3室2厅 | 105平米 | 东南 | 其他 | 高楼层(共26层)  | 板楼,0人关注 / 8天以前发布,158,"15,048元/平"
此房业主诚意出售 视野开阔采光好，楼层好,中海凯旋门 -章江新区,3室2厅 | 116.11平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 3天以前发布,205,"17,656元/平"
幸福里二期 3室2厅 南,幸福里二期 -章江新区,3室2厅 | 126平米 | 南 | 其他 | 中楼层(共34层)  | 板塔结合,0人关注 / 5天以前发布,200,"15,874元/平"
"保利品质,户型方正,楼间距宽,采光充足,视野开阔,",巨亿城 -老城区,3室1厅 | 111.1平米 | 南 | 其他 | 低楼层(共32层)  | 板楼,0人关注 / 5天以前发布,112,"10,082元/平"
中海品质·精装2卧，物业完善，配套齐全,中海国际社区锦园 -章江新区,2室2厅 | 89平米 | 东南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 5天以前发布,119,"13,371元/平"
天成名都 3室2厅 南 北,天成名都 -于都县,3室2厅 | 121.58平米 | 南 北 | 其他 | 高楼层(共23层)  | 暂无数据,0人关注 / 2天以前发布,85,"6,992元/平"
福城花苑 4室1厅 南,福城花苑 -于都县,4室1厅 | 143.22平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 5天以前发布,85,"5,935元/平"
房子精装修，正规三房两厅，朝南阳台，视野好,幸福里一期 -章江新区,3室1厅 | 86.17平米 | 东南 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 3天以前发布,152,"17,640元/平"
中海国际社区东郡B区 3室2厅 南,中海国际社区东郡B区 -章江新区,3室2厅 | 114平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,0人关注 / 7天以前发布,160,"14,036元/平"
此房满五不唯一，楼层好，视野宽阔，采光充足，,联发君悦滨江 -老城区,2室1厅 | 86.57平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,0人关注 / 4天以前发布,109.7,"12,672元/平"
此房满五唯一，小洋房共11层，南向7米大阳台无遮挡,五星公馆 -南康区,4室2厅 | 143平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 7天以前发布,129.8,"9,077元/平"
天际华庭 3室2厅 南,天际华庭 -章江新区,3室2厅 | 125.15平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,0人关注 / 4天以前发布,125,"9,989元/平"
中海凯旋门 3室2厅 南,中海凯旋门 -章江新区,3室2厅 | 89平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 1天以前发布,175,"19,663元/平"
中海派 3室2厅 南,中海派 -章江新区,3室2厅 | 108.8平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 1天以前发布,180,"16,545元/平"
正荣·悦玺 4室2厅 南,正荣·悦玺 -蓉江新区,4室2厅 | 145平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 5天以前发布,174,"12,000元/平"
铂金时代 1室1厅 南,铂金时代 -章江新区,1室1厅 | 57平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 3天以前发布,55,"9,650元/平"
公园壹号 3室2厅 南,公园壹号 -章江新区,3室2厅 | 118平米 | 南 | 其他 | 低楼层(共30层)  | 板楼,0人关注 / 3天以前发布,179,"15,170元/平"
幸福里三期 3室2厅 西南,幸福里三期 -章江新区,3室2厅 | 117平米 | 西南 | 其他 | 高楼层(共34层)  | 板塔结合,0人关注 / 5天以前发布,185,"15,812元/平"
中海凯旋门 3室2厅 南,中海凯旋门 -章江新区,3室2厅 | 89平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 1天以前发布,175,"19,663元/平"
章江新区、财富港江景诚意出售！,财富港 -章江新区,3室1厅 | 151.39平米 | 东南 | 其他 | 高楼层(共29层)  | 塔楼,0人关注 / 6天以前发布,159,"10,503元/平"
中海派 3室2厅 南,中海派 -章江新区,3室2厅 | 108.8平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 1天以前发布,180,"16,545元/平"
城央一品 3室2厅 南,城央一品 -章江新区,3室2厅 | 85.21平米 | 南 | 其他 | 高楼层(共27层)  | 板楼,0人关注 / 5天以前发布,118.6,"13,919元/平"
中海派 3室2厅 南,中海派 -章江新区,3室2厅 | 87.87平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 1天以前发布,150,"17,071元/平"
小教场5号 2室2厅 南,小教场5号 -老城区,2室2厅 | 93平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 3天以前发布,58,"6,237元/平"
万象城小三房诚意出售 ，点头像委托找房,幸福里二期 -章江新区,3室2厅 | 86.15平米 | 南 | 其他 | 高楼层(共34层)  | 板塔结合,0人关注 / 3天以前发布,146,"16,948元/平"
中海国际社区华府 3室2厅 西南,中海国际社区华府 -章江新区,3室2厅 | 110平米 | 西南 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 6天以前发布,175,"15,910元/平"
滨江.爱丁堡精装五房房东诚意出售,滨江·爱丁堡二期 -老城区,5室2厅 | 142平米 | 南 | 其他 | 高楼层(共14层)  | 板塔结合,0人关注 / 7天以前发布,168,"11,831元/平"
老城区户型方正大三房，精装修房,铭豪佳苑 -老城区,3室2厅 | 113平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 7天以前发布,130,"11,505元/平"
精装修 保养新 楼层好 视野开阔 采光充足，,中航·公元一期 -章江新区,4室2厅 | 160.46平米 | 西南 | 其他 | 中楼层(共31层)  | 塔楼,0人关注 / 6天以前发布,325,"20,255元/平"
明珠苑 3室2厅 南,明珠苑 -站北区,3室2厅 | 109.02平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 4天以前发布,75,"6,880元/平"
中海派 3室2厅 南,中海派 -章江新区,3室2厅 | 109平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 刚刚发布,156,"14,312元/平"
中海派 3室2厅 南,中海派 -章江新区,3室2厅 | 87.04平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 刚刚发布,140,"16,085元/平"
海会路4号 3室1厅 南,海会路4号 -老城区,3室1厅 | 93.44平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 1天以前发布,55,"5,887元/平"
青年路43号 3室2厅 南 北,青年路43号 -老城区,3室2厅 | 86.5平米 | 南 北 | 其他 | 低楼层(共6层)  | 平房,0人关注 / 1天以前发布,58,"6,706元/平"
南水书香华庭毛坯5房2厅2卫.......,書香华庭 -南康区,5室1厅 | 144.2平米 | 南 | 其他 | 低楼层(共28层)  | 板楼,0人关注 / 4天以前发布,129,"8,946元/平"
天成名都 3室2厅 南 北,天成名都 -于都县,3室2厅 | 121.58平米 | 南 北 | 其他 | 高楼层(共23层)  | 暂无数据,0人关注 / 2天以前发布,85,"6,992元/平"
此房满五唯一，小洋房共11层，南向7米大阳台无遮挡,五星公馆 -南康区,4室2厅 | 143平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 7天以前发布,129.8,"9,077元/平"
户型通透格局好，视野开阔，采光充足，配套设施齐全,铂悦公馆 -章江新区,3室2厅 | 109平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,225,"20,643元/平"
保利嘉福心语 3室2厅 南,保利嘉福心语 -黄金开发区,3室2厅 | 111.7平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 3天以前发布,115,"10,296元/平"
中洋•公园首府 2室1厅 南,中洋•公园首府 -章江新区,2室1厅 | 79.6平米 | 南 | 其他 | 低楼层(共32层)  | 板楼,0人关注 / 1天以前发布,125,"15,704元/平"
蓉江新区管委会旁，商都嘉园毛坯三房，户型通透采光好,商都嘉园 -蓉江新区,3室2厅 | 134平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 3天以前发布,85,"6,344元/平"
