标题,开发商,房子信息,发布信息,售价/万,单价
13年新社区，小区管理严格，户型方正，出行便利,建华温泉公寓二区 -五一广场,3室1厅 | 105.51平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 塔楼,2人关注 / 一年前发布,375,"35,542元/平"
三房两厅两卫采光视野好户型方正,中联城 -福清市,3室1厅 | 127.64平米 | 南 西 北 | 毛坯 | 低楼层(共31层)  | 暂无数据,0人关注 / 29天以前发布,176.5,"13,828元/平"
融侨泷郡 融侨品质 高.端别墅 宜居生活,融侨泷郡 -福清市,6室2厅 | 314.81平米 | 南 北 西 | 毛坯 | 4层  | 暂无数据 | 双拼别墅 ,0人关注 / 30天以前发布,550,"17,471元/平"
社区入住率高，带电梯车位和花园，总共四层的小联排~,融侨小院 -南屿,4室2厅 | 189.84平米 | 南 | 毛坯 | 4层  | 暂无数据 | 联排别墅 ,0人关注 / 19天以前发布,310,"16,330元/平"
西湖 商品房单独管理 天怡花园 4房 亮厅 双卫,天怡花园 -左海西湖,4室2厅 | 123.3平米 | 东南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 6天以前发布,380,"30,820元/平"
大唐世家 3室3厅 东南,大唐世家 -火车南站,3室3厅 | 187平米 | 东南 | 精装 | 5层  | 板塔结合 | 联排别墅 ,0人关注 / 6天以前发布,273,"14,599元/平"
三坊边，03年花园社区，原装电梯、三坊七巷、,澳门公寓 -乌山路,3室2厅 | 118.72平米 | 东 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 5天以前发布,528,"44,475元/平"
黎明二环旁，福屿框架3房，中间楼层，南北通透,福屿小区二区9-12座 -西江滨,3室2厅 | 84平米 | 南 北 | 简装 | 中楼层(共7层)  | 平房,0人关注 / 6天以前发布,185,"22,024元/平"
鼓楼区左海公园全商社区顶层复式带露台，居家装修,天赐良园 -铜盘路（软件园）,5室2厅 | 189.42平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 3天以前发布,480,"25,341元/平"
新，南营巷房，东南北三面采光，中间楼层，阳光充足,南营巷 -三坊七巷,4室2厅 | 116平米 | 东南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,700,"60,345元/平"
天元二期，门口位置，电梯小高层，拎包入住！,天元花园 -省体湖前,4室2厅 | 136.85平米 | 西南 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 3天以前发布,385,"28,133元/平"
钱塘怡山小旁 华润万象城 实达单位房 中间楼层,实达一区公寓 -西江滨,3室2厅 | 81.2平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,243,"29,927元/平"
三坊七巷大三房 则徐 贴砖框架管理好 端头采光好,仓前街新村 -三坊七巷,3室2厅 | 121.98平米 | 南 西 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,416,"34,104元/平"
官路小区 4室2厅 东南,官路小区 -五四北,4室2厅 | 123.54平米 | 东南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 30天以前发布,220,"17,808元/平"
省实 屏东中旁 三房 南北向 精装中层 换房急卖,福州大戏院单位宿舍 -省政府,3室1厅 | 68.68平米 | 南 | 精装 | 中楼层(共5层)  | 平房,0人关注 / 28天以前发布,390,"56,786元/平"
鼓楼江滨融侨锦江D区电梯高层全明户型精装江景房,融侨锦江小区D区 -西江滨,4室2厅 | 157.49平米 | 东南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 29天以前发布,730,"46,353元/平"
"东方名城华郡,通透3房，一梯一户，高层采光好，近地铁",东方名城华郡 -江滨东大道(快安）,3室1厅 | 137.84平米 | 南 北 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 21天以前发布,218,"15,816元/平"
龙旺康桥丹堤 英伦风格 有天有地,康桥丹堤 -福州高新区,5室2厅 | 274.7平米 | 西南 | 毛坯 | 3层  | 板楼 | 联排别墅 ,0人关注 / 22天以前发布,580,"21,114元/平"
楼间距宽敞 无遮挡 采光通透 无欠款 校 区就在家门口,凤祥小区 -马尾市区,3室2厅 | 116.62平米 | 东南 | 简装 | 高楼层(共9层)  | 板楼,0人关注 / 30天以前发布,105,"9,004元/平"
正荣润城，双平层复式，南北通透，台江宝龙晚上地段,正荣润城 -万宝商圈,5室1厅 | 126.89平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 30天以前发布,700,"55,166元/平"
泰禾花园 电梯复式 精装修 朝南不沿街 双露台,泰禾花园 -省体湖前,6室3厅 | 169.5平米 | 东南 北 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 28天以前发布,508,"29,971元/平"
新上房源，上游墅二期，高层看江，刚需三房，满二,世茂上游墅二期 -甘蔗,3室2厅 | 87.89平米 | 南 | 毛坯 | 高楼层(共50层)  | 板楼,0人关注 / 1个月以前发布,116,"13,199元/平"
龙湖3层半别墅，产权150平，使用面积249平，4房出售,龙湖天宸星座 -待定中,4室2厅 | 150平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 暂无数据,0人关注 / 28天以前发布,151,"10,067元/平"
刚需小钢炮.划屏西铜盘.，门口永辉.左海西湖花园,鼓楼人家B区 -铜盘路（软件园）,1室0厅 | 31.89平米 | 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 20天以前发布,106,"33,240元/平"
康桥丹堤 复式131平 4房2卫 福耀大学高新万达旁,康桥丹堤 -福州高新区,4室2厅 | 131.14平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 29天以前发布,215,"16,395元/平"
西海岸广场复式楼 高层 头排 看江无遮挡 视野好,西海岸广场 -甘蔗,2室2厅 | 44.46平米 | 东南 | 毛坯 | 高楼层(共13层)  | 塔楼,0人关注 / 30天以前发布,35,"7,873元/平"
贵安贵府苑 54平一室一厅，精装修,贵安新天地贵府苑 -贵安,1室1厅 | 53.89平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 19天以前发布,34,"6,310元/平"
金润大厦 2室1厅 南,金润大厦 -五一广场,2室1厅 | 89.13平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 18天以前发布,275,"30,854元/平"
晨看天色暮看云，行也君山，坐也君山,水岸君山 -马尾市区,4室2厅 | 276.66平米 | 南 | 毛坯 | 低楼层(共4层)  | 暂无数据,0人关注 / 3个月以前发布,429,"15,507元/平"
双拼别墅 3层复式 松花园地下室 使用面积大,鼓山壹号 -国货路,11室3厅 | 363.25平米 | 西南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,4人关注 / 一年前发布,1200,"33,036元/平"
香开新城烫金地段空中别墅两梯两户带有双车位,香开新城东区 -东二环,8室2厅 | 291.77平米 | 南 北 | 精装 | 高楼层(共36层)  | 板楼,8人关注 / 10个月以前发布,1150,"39,415元/平"
市区大户型，复式楼使用面积大，低总价含车位,万业锦江城 -长乐城区,6室2厅 | 176.24平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,270,"15,321元/平"
09年纯商品房社区，电梯高层，双层复式楼，可三代同堂,北尚C区 -五四北,6室2厅 | 124.92平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 3个月以前发布,530,"42,428元/平"
房东诚意出售 房子还在卖 看房提前联系,大名城 -福新路,8室2厅 | 240.46平米 | 东 东南 | 精装 | 高楼层(共10层)  | 板楼,0人关注 / 8个月以前发布,900,"37,429元/平"
双地铁口 精装6房 单价低 使用面积大 公园旁鼓楼北,枫丹白鹭一至二期 -五四北,6室2厅 | 230.13平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 1个月以前发布,359,"15,600元/平"
省体，湖前，次新房，恒力博纳，电梯小两房，两房朝南,恒力博纳广场 -省体湖前,2室1厅 | 62.7平米 | 南 | 精装 | 高楼层(共42层)  | 板楼,0人关注 / 17天以前发布,201,"32,058元/平"
东端头，可看江，地势高，空气好，楼层好，视野宽阔,正荣悦澜山 -马尾市区,4室2厅 | 106.7平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 15天以前发布,175,"16,402元/平"
鼓楼户型方正复式楼，阳光采光充足，东南北三面采光,格林兰苑 -铜盘路（软件园）,5室3厅 | 286.4平米 | 东南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,630,"21,998元/平"
上渡花园式社区 正祥滨江假日 电梯高层 带入户大花园,正祥滨江假日 -闽江大道,5室2厅 | 110平米 | 南 | 简装 | 高楼层(共9层)  | 板楼,12人关注 / 一年前发布,400,"36,364元/平"
东方名城，顶楼复式，精装修，费用少 ，拎包入住，赞,东方名城香郡 -江滨东大道(快安）,5室2厅 | 192.95平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,330,"17,103元/平"
坐落于老城区别墅，喜鹊房源，欢迎各位老板实地看房。,新达花园 -长乐城区,8室2厅 | 455.99平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 2个月以前发布,680,"14,913元/平"
融侨外滩D区     价格优惠,融侨外滩D区 -闽江大道,4室2厅 | 234平米 | 西南 北 | 精装 | 低楼层(共39层)  | 塔楼,35人关注 / 一年前发布,1400,"59,830元/平"
融信情景洋房，端头带草地、地下室、产权车库，看花园,融信第一城 -金山大道,6室2厅 | 200.95平米 | 南 北 | 精装 | 低楼层(共4层)  | 板楼,3人关注 / 4个月以前发布,480,"23,887元/平"
融侨锦江社区少有的叠拼别墅挂牌出售,融侨锦江小区A区 -西江滨,5室4厅 | 253.27平米 | 南 | 精装 | 中楼层(共4层)  | 暂无数据,5人关注 / 6个月以前发布,880,"34,746元/平"
五四北新嘉小区 户型好  业主诚意出售,新嘉小区 -五四北,4室2厅 | 132.79平米 | 东南 南 | 简装 | 中楼层(共6层)  | 板塔结合,5人关注 / 一年前发布,200,"15,062元/平"
地铁口，花园社区，顶楼复式带露台。,中天翡翠城 -五四北,7室3厅 | 134.07平米 | 东南 北 | 精装 | 高楼层(共9层)  | 板塔结合,1人关注 / 3个月以前发布,420,"31,327元/平"
鼓楼区，联排别墅，纯别墅社区，看房方便,运盛美之国花园 -大儒世家,5室0厅 | 249.23平米 | 南 | 精装 | 低楼层(共1层)  | 板楼,0人关注 / 1个月以前发布,999,"40,084元/平"
绿洲家园 5室2厅 东 南,绿洲家园 -荆溪,5室2厅 | 288.56平米 | 东 南 | 精装 | 3层  | 平房 | 独栋别墅 ,0人关注 / 3个月以前发布,1250,"43,319元/平"
福湾新城秋月苑 48平方 单身公寓 可领包入住,福湾新城秋月苑 -金山奥体,1室1厅 | 47.37平米 | 南 | 简装 | 低楼层(共14层)  | 板塔结合,0人关注 / 12天以前发布,81,"17,100元/平"
建发领域 5室2厅 东南,建发领域 -荆溪,5室2厅 | 543平米 | 东南 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 2个月以前发布,1600,"29,466元/平"
绿洲家园 独栋别墅 环境优美 精装修,绿洲家园 -荆溪,7室3厅 | 411.81平米 | 南 | 精装 | 3层  | 平房 | 独栋别墅 ,0人关注 / 1个月以前发布,1930,"46,867元/平"
台江排尾 万达商圈，贴砖小户型，房东诚意出售,恒盛楼 -台江排尾,2室1厅 | 61.75平米 | 南 北 | 简装 | 高楼层(共7层)  | 平房,0人关注 / 8天以前发布,149,"24,130元/平"
近万达 地铁口 人车分流精装修中层,福晟钱隆金山 -浦上大道（金山万达）,2室1厅 | 74.22平米 | 西北 | 精装 | 中楼层(共10层)  | 板塔结合,0人关注 / 12天以前发布,225,"30,316元/平"
东二环电梯大两房，户型方正，采光好！,鹤林新城 -东二环,2室2厅 | 76.42平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 13天以前发布,160,"20,937元/平"
海西提 单身公寓 电梯高层 视野好 采光好 诚意出售,海西提 -马尾市区,1室1厅 | 44.9平米 | 东南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 9天以前发布,70,"15,591元/平"
万达华伦旁 中间楼层 三房朝南 户型好,武夷绿洲一期 -光明港,3室2厅 | 111.43平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,220,"19,744元/平"
东端边户 精装三房两卫 费用低 视野好,东方名城尚郡 -江滨东大道(快安）,3室1厅 | 134.15平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,275,"20,500元/平"
台江区 鳌峰花园 中间楼层 自然采光,鳌峰花园 -台江排尾,5室2厅 | 168平米 | 东南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,330,"19,643元/平"
温泉小 五四路 全景温泉公园 电梯高层  品质社区,锦绣温泉 -五四路（温泉公园）,4室2厅 | 167.41平米 | 西北 | 简装 | 中楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,750,"44,801元/平"
鼓一，十九，310万两房朝南，单位管理，诚意出售。,福建省机械工业厅住宅 -省政府,2室1厅 | 58.7平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 30天以前发布,310,"52,811元/平"
东街口，安泰中心，三坊七巷边，框架三房，精装修，,安泰中心 -三坊七巷,3室2厅 | 90.8平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 27天以前发布,530,"58,371元/平"
奥体旁阳光品质南北三房两卫满两年业主诚意出售,奥体阳光花园 -金山奥体,3室2厅 | 118.21平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 1个月以前发布,378,"31,977元/平"
橡树湾 3室2厅 东南,橡树湾 -金山奥体,3室2厅 | 117平米 | 东南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 21天以前发布,278,"23,761元/平"
精装复式楼 标准四房 使用面积大,鸿城小区二期 -首山路（师大）,4室2厅 | 170.8平米 | 南 北 | 精装 | 高楼层(共8层)  | 板塔结合,0人关注 / 25天以前发布,388,"22,717元/平"
奥体旁阳光品质南北三房两卫满两年业主诚意出售,奥体阳光花园 -金山奥体,3室2厅 | 118.21平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 1个月以前发布,378,"31,977元/平"
橡树湾 3室2厅 东南,橡树湾 -金山奥体,3室2厅 | 117平米 | 东南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 21天以前发布,278,"23,761元/平"
蝶泉湾 标准两房 精装修 适合宜居的小区，小区物业好,蝶泉湾 -贵安,2室1厅 | 79.41平米 | 西南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 23天以前发布,55,"6,927元/平"
金祥二号线后面，新华都购物广场 居住位置合适,吉元小区二区 -金山公园,4室2厅 | 120.84平米 | 南 北 | 精装 | 低楼层(共9层)  | 板塔结合,0人关注 / 28天以前发布,300,"24,827元/平"
温泉公园板块，怡泉花园，省图书馆边，温泉，十九,怡泉花园 -五四路（温泉公园）,3室2厅 | 105.11平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 27天以前发布,400,"38,056元/平"
高新区桥头堡，三房两卫，户型好，采光好，欢迎看房,融侨誉江 -福州高新区,3室1厅 | 89平米 | 南 北 | 精装 | 高楼层(共25层)  | 暂无数据,1人关注 / 30天以前发布,180,"20,225元/平"
新上 适中楼层 看房方便 居家装修三房,江南水都名筑 -闽江大道,3室2厅 | 112.02平米 | 东南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 31天以前发布,380,"33,923元/平"
精装修中高楼层全明户型采光通风很好哈,正祥林语墅4期 -南屿,3室2厅 | 88.34平米 | 东南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 21天以前发布,135,"15,282元/平"
湖滨小西二环框架两房，低总价，客厅有采光,光华楼 -西江滨,2室2厅 | 78.7平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 19天以前发布,225,"28,590元/平"
温馨家园 4室2厅 南 北,温馨家园 -北江滨CBD,4室2厅 | 122.78平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 21天以前发布,300,"24,434元/平"
丰联丽都精装修出售 看房提前预约,丰联丽都 -福清市,3室2厅 | 80.83平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 24天以前发布,78,"9,650元/平"
闽江世纪城B区 3室2厅 南 北,闽江世纪城B区 -南江滨,3室2厅 | 123.07平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 27天以前发布,350,"28,440元/平"
万达旁 2009年社区 一梯两户 商品房,武夷绿洲三期 -光明港,3室2厅 | 91.98平米 | 南 | 精装 | 中楼层(共9层)  | 塔楼,0人关注 / 31天以前发布,208,"22,614元/平"
东街口，延安谷贰，安福新村，中间楼层,安福新村 -三坊七巷,3室2厅 | 123平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 20天以前发布,730,"59,350元/平"
连江南路138号 3室2厅 西南,连江南路138号 -三叉街,3室2厅 | 86.7平米 | 西南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 29天以前发布,145,"16,725元/平"
花好月圆 4室2厅 东南,花好月圆 -金山大道,4室2厅 | 138.93平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 28天以前发布,236,"16,987元/平"
户型方正，居家精装，空间舒适，,博仕后官邸 -上街,4室2厅 | 113.53平米 | 西南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 28天以前发布,210,"18,498元/平"
中山  十九 三房  中间楼层 三房朝南 采光好,社会主义学院宿舍 -省政府,3室1厅 | 77.34平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 28天以前发布,280,"36,204元/平"
交通便利，地铁口，刚需三房...,祥业花园 -火车站,3室2厅 | 83.29平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 30天以前发布,166,"19,931元/平"
三房两卫，满两年精装修可拎包入住，欢迎来电咨询,正祥林语墅4期 -南屿,3室2厅 | 92.21平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 23天以前发布,140,"15,183元/平"
五四路，框架结构，琴亭公寓，南北三房，楼层适中,琴亭公寓 -火车站,3室2厅 | 85.42平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 27天以前发布,150,"17,561元/平"
万达爱琴海 地铁 精装东端头 电梯中高层  满二省税费,海润尊品 -浦上大道（金山万达）,4室2厅 | 140.22平米 | 东 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 30天以前发布,416,"29,668元/平"
居家好房，中山，户型好，大三房，总价低，近距离中山,七星井新村 -省政府,3室1厅 | 78.4平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 27天以前发布,270,"34,439元/平"
大儒世家朗园！电梯三房！户型方正！不沿街！阳光好,大儒世家朗园 -大儒世家,3室2厅 | 91.28平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 22天以前发布,268,"29,361元/平"
地铁口  电梯高层 两房朝南 全明户型,上城美域 -白湖亭,2室2厅 | 67.7平米 | 南 | 简装 | 高楼层(共15层)  | 板塔结合,0人关注 / 17天以前发布,184,"27,179元/平"
二号线桔园洲站，客厅挑高4.3米，南北通透，三房朝南,香江枫景 -金山公园,3室2厅 | 102.53平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 19天以前发布,328,"31,991元/平"
万达爱琴海 地铁 精装东端头 电梯中高层 满二省税费,海润尊品 -浦上大道（金山万达）,4室2厅 | 140.22平米 | 东 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 29天以前发布,416,"29,668元/平"
紧凑3房总价低，地铁2号线旁，位置好交通方便,六一佳园 -国货路,3室1厅 | 109.35平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 17天以前发布,161,"14,724元/平"
省体宿舍 3室1厅 南 北,省体宿舍 -省体湖前,3室1厅 | 91.12平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 12天以前发布,240,"26,339元/平"
福湾新城秋月苑 3室2厅 南,福湾新城秋月苑 -金山奥体,3室2厅 | 98.78平米 | 南 | 简装 | 低楼层(共11层)  | 塔楼,0人关注 / 13天以前发布,165,"16,704元/平"
地铁口，1号线，标准两房，户型方正,新仓山洋楼 -南江滨,2室1厅 | 76.26平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 8天以前发布,160,"20,981元/平"
250万买红树林低总价居家四房，采光通风良好,泰禾红树林 -金山奥体,4室2厅 | 143.5平米 | 东南 | 简装 | 低楼层(共33层)  | 板塔结合,1人关注 / 12天以前发布,251.12,"17,500元/平"
福湾新城秋月苑 3室2厅 南,福湾新城秋月苑 -金山奥体,3室2厅 | 98.78平米 | 南 | 简装 | 低楼层(共11层)  | 塔楼,0人关注 / 13天以前发布,165,"16,704元/平"
纯商品房 高层头排瞰湖 精装修 满五唯一 香开新城东区,香开新城东区 -东二环,3室2厅 | 97.86平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 15天以前发布,357,"36,481元/平"
看过来了 阳光理想城 精装3房 总价只要87万 拎包入住,阳光理想城香草天空揽香 -上街,3室1厅 | 57平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,0人关注 / 11天以前发布,87,"15,264元/平"
人气苑区 精装修三房 拎包入住 贵泉苑,贵安新天地贵泉苑 -贵安,3室1厅 | 108.26平米 | 南 东南 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 12天以前发布,90,"8,314元/平"
公摊少  总价低  拎包入住 配套齐全,马尾福顺新村 -马尾市区,3室1厅 | 113.81平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 10天以前发布,90,"7,908元/平"
低总价 买高新区三房 地铁方便 碧桂园十里江湾 正荣旁,碧桂园十里江湾 -福州高新区,3室2厅 | 77.05平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 12天以前发布,143,"18,560元/平"
湖东路与温泉路交汇处标准三房居家装修可拎包配套齐全,金福新村 -五四路（温泉公园）,3室2厅 | 103.6平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 16天以前发布,328,"31,661元/平"
地铁口，金屿站楼上高层单身公寓，房东诚意出售！,博仕后家园B区 -上街,1室0厅 | 35.32平米 | 北 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 8天以前发布,50,"14,157元/平"
万达商圈 百合旁 复式楼 大家庭优选住宅,中联天玺 -福清市,3室1厅 | 187.2平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 14天以前发布,400,"21,368元/平"
鼓楼二环边  地铁口 东南北全明 精装拎包即住,福屿花园 -西江滨,3室2厅 | 100.5平米 | 东南 北 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 17天以前发布,230,"22,886元/平"
华盛大厦 南北通透 3房 高楼层 产权清晰 346万,华盛大厦 -五一广场,3室2厅 | 157.1平米 | 南 北 | 简装 | 中楼层(共28层)  | 平房,0人关注 / 16天以前发布,346,"22,025元/平"
楼栋位置好，视野无遮挡，楼栋位置好进出方便，采光好,闽江世纪城B区 -南江滨,3室2厅 | 122.83平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 12天以前发布,360,"29,309元/平"
龙津苑中层 自住精装修 三房南北全明户型  稳定出售,龙津苑 -江滨东大道(快安）,3室2厅 | 108.75平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 9天以前发布,105,"9,656元/平"
茶园山低总价电梯两房 精装修 采光好,万隆花园2期 -西江滨,2室1厅 | 50.85平米 | 东 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 10天以前发布,212,"41,692元/平"
北江滨  富力   5米挑高  端头看江户型，精装20万+,富力中心B区 -北江滨CBD,2室1厅 | 70.5平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 7天以前发布,270,"38,298元/平"
橘园洲地铁口大四房两卫，户型方正，精装修拎包入住,吉苑 -金山公园,4室2厅 | 132.33平米 | 东南 | 精装 | 中楼层(共10层)  | 平房,0人关注 / 10天以前发布,360,"27,205元/平"
西湖旁，单位管理，户型方正，公摊少，可停车交通便利,福建省劳动卫生职业病研究所宿舍 -左海西湖,3室2厅 | 74.39平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 10天以前发布,255,"34,279元/平"
阳光凡尔赛宫 A区，全毛坯， 无遮挡 大平层户型,阳光凡尔赛宫B3区 -光明港,4室1厅 | 163.55平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 平房,0人关注 / 11天以前发布,615,"37,604元/平"
名郡，单身公寓，精装修，几乎全新，业主诚售，赞赞赞,名郡 -江滨东大道(快安）,1室1厅 | 39.89平米 | 北 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 6天以前发布,62,"15,543元/平"
福新路 阳光城 次新小区 朝东视野好 精装修,阳光城假日公寓 -五一广场,1室1厅 | 53.8平米 | 东 | 精装 | 低楼层(共23层)  | 板楼,0人关注 / 8天以前发布,165,"30,670元/平"
宝龙旁，居家3房，小区贴砖，近地铁,新兴小区 -万宝商圈,3室2厅 | 83.83平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 13天以前发布,175,"20,876元/平"
万宝商圈 宁化地铁2号线 宁化新村 低总价3房,宁化小区 -万宝商圈,3室1厅 | 76.45平米 | 东南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 6天以前发布,150,"19,621元/平"
福湾新城秋月苑，刚需两房出售，证件齐全,福湾新城秋月苑 -金山奥体,2室2厅 | 63.92平米 | 南 | 简装 | 高楼层(共14层)  | 板塔结合,0人关注 / 7天以前发布,116,"18,148元/平"
左海边电梯三房，端头全明。左海帝景,左海帝景 -西江滨,3室2厅 | 110.31平米 | 东南 北 | 精装 | 低楼层(共10层)  | 板楼,0人关注 / 11天以前发布,399,"36,171元/平"
聚龙尚书院 烟台山 麦鼎 十六 精装3房,尚书院 -首山路（师大）,3室1厅 | 82.98平米 | 南 | 精装 | 低楼层(共21层)  | 板塔结合,0人关注 / 8天以前发布,450,"54,230元/平"
龙江云山墅，居家装修三房，可直接拎包入住,龙江云山墅 -上街,3室2厅 | 78.95平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 10天以前发布,115,"14,567元/平"
晋安湖 东泰禾 保利端头标准四房诚意出售,保利香槟国际 -东二环,4室2厅 | 135.86平米 | 南 北 | 简装 | 中楼层(共32层)  | 塔楼,0人关注 / 9天以前发布,503,"37,024元/平"
1号线葫芦阵 大露台 户型方正 通透 居家装修,都会华彩 -白湖亭,3室2厅 | 120.54平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 10天以前发布,210,"17,422元/平"
福新路新华都09年花园式社区配套成熟出行方便,阳光城假日公寓 -五一广场,1室1厅 | 73.17平米 | 南 | 精装 | 低楼层(共23层)  | 板楼,0人关注 / 4天以前发布,228,"31,161元/平"
晋安湖 东泰禾 保利端头标准四房诚意出售,保利香槟国际 -东二环,4室2厅 | 135.86平米 | 南 北 | 简装 | 中楼层(共32层)  | 塔楼,0人关注 / 9天以前发布,503,"37,024元/平"
六一佳园，自住精装两房，房东换房诚意出售,六一佳园 -国货路,2室1厅 | 60.89平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2天以前发布,109,"17,902元/平"
茶园山，框架房，三房，大社区，中间楼层,西洪新村 -西江滨,3室1厅 | 91.12平米 | 西南 | 精装 | 中楼层(共8层)  | 平房,0人关注 / 10天以前发布,247,"27,108元/平"
